EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, SASSOSTORNO (STAID: 17802).
Blended and updated with sources: 197384 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
197384,20051201,-9999,    9
197384,20051202,-9999,    9
197384,20051203,-9999,    9
197384,20051204,-9999,    9
197384,20051205,-9999,    9
197384,20051206,-9999,    9
197384,20051207,-9999,    9
197384,20051208,-9999,    9
197384,20051209,-9999,    9
197384,20051210,-9999,    9
197384,20051211,-9999,    9
197384,20051212,-9999,    9
197384,20051213,-9999,    9
197384,20051214,-9999,    9
197384,20051215,-9999,    9
197384,20051216,-9999,    9
197384,20051217,-9999,    9
197384,20051218,-9999,    9
197384,20051219,-9999,    9
197384,20051220,-9999,    9
197384,20051221,-9999,    9
197384,20051222,-9999,    9
197384,20051223,-9999,    9
197384,20051224,-9999,    9
197384,20051225,-9999,    9
197384,20051226,-9999,    9
197384,20051227,-9999,    9
197384,20051228,-9999,    9
197384,20051229,-9999,    9
197384,20051230,-9999,    9
197384,20051231,  -10,    0
197384,20060101,    9,    0
197384,20060102,    0,    0
197384,20060103,    3,    0
197384,20060104,  -13,    0
197384,20060105,  -28,    0
197384,20060106,  -19,    0
197384,20060107,    0,    0
197384,20060108,  -16,    0
197384,20060109,  -35,    0
197384,20060110,  -20,    0
197384,20060111,    2,    0
197384,20060112,    2,    0
197384,20060113,  -17,    0
197384,20060114,  -16,    0
197384,20060115,  -43,    0
197384,20060116,  -40,    0
197384,20060117,   -2,    0
197384,20060118,   47,    0
197384,20060119,   35,    0
197384,20060120,   43,    0
197384,20060121,   36,    0
197384,20060122,    0,    0
197384,20060123,  -48,    0
197384,20060124,  -73,    0
197384,20060125,  -51,    0
197384,20060126,  -51,    0
197384,20060127,  -12,    0
197384,20060128,   13,    0
197384,20060129,   25,    0
197384,20060130,   28,    0
197384,20060131,   46,    0
197384,20060201,   76,    0
197384,20060202,   85,    0
197384,20060203,   45,    0
197384,20060204,   27,    0
197384,20060205,  -29,    0
197384,20060206,  -43,    0
197384,20060207,  -21,    0
197384,20060208,   21,    0
197384,20060209,   24,    0
197384,20060210,    2,    0
197384,20060211,   -7,    0
197384,20060212,  -10,    0
197384,20060213,   -6,    0
197384,20060214,   14,    0
197384,20060215,   37,    0
197384,20060216,   68,    0
197384,20060217,   57,    0
197384,20060218,   56,    0
197384,20060219,   55,    0
197384,20060220,   27,    0
197384,20060221,    5,    0
197384,20060222,   15,    0
197384,20060223,    7,    0
197384,20060224,  -14,    0
197384,20060225,   -7,    0
197384,20060226,   19,    0
197384,20060227,   -4,    0
197384,20060228,  -20,    0
197384,20060301,    0,    0
197384,20060302,  -15,    0
197384,20060303,   32,    0
197384,20060304,   62,    0
197384,20060305,   48,    0
197384,20060306,  -19,    0
197384,20060307,  -11,    0
197384,20060308,    9,    0
197384,20060309,   60,    0
197384,20060310,   40,    0
197384,20060311,   11,    0
197384,20060312,  -20,    0
197384,20060313,   -4,    0
197384,20060314,   12,    0
197384,20060315,   22,    0
197384,20060316,    1,    0
197384,20060317,   14,    0
197384,20060318,   16,    0
197384,20060319,   16,    0
197384,20060320,   52,    0
197384,20060321,   48,    0
197384,20060322,   41,    0
197384,20060323,   60,    0
197384,20060324,   50,    0
197384,20060325,   63,    0
197384,20060326,   98,    0
197384,20060327,  116,    0
197384,20060328,   92,    0
197384,20060329,   87,    0
197384,20060330,   85,    0
197384,20060331,  108,    0
197384,20060401,  101,    0
197384,20060402,   94,    0
197384,20060403,   97,    0
197384,20060404,   92,    0
197384,20060405,   86,    0
197384,20060406,   44,    0
197384,20060407,   34,    0
197384,20060408,   66,    0
197384,20060409,  104,    0
197384,20060410,  107,    0
197384,20060411,   30,    0
197384,20060412,   49,    0
197384,20060413,   81,    0
197384,20060414,  125,    0
197384,20060415,  113,    0
197384,20060416,  111,    0
197384,20060417,  101,    0
197384,20060418,   75,    0
197384,20060419,   83,    0
197384,20060420,   90,    0
197384,20060421,  100,    0
197384,20060422,  127,    0
197384,20060423,  142,    0
197384,20060424,  140,    0
197384,20060425,  128,    0
197384,20060426,  114,    0
197384,20060427,   97,    0
197384,20060428,   92,    0
197384,20060429,   96,    0
197384,20060430,   67,    0
197384,20060501,   87,    0
197384,20060502,  102,    0
197384,20060503,  113,    0
197384,20060504,  118,    0
197384,20060505,  106,    0
197384,20060506,  111,    0
197384,20060507,  112,    0
197384,20060508,  115,    0
197384,20060509,   76,    0
197384,20060510,   95,    0
197384,20060511,  102,    0
197384,20060512,  137,    0
197384,20060513,  139,    0
197384,20060514,  125,    0
197384,20060515,  143,    0
197384,20060516,  166,    0
197384,20060517,  190,    0
197384,20060518,  191,    0
197384,20060519,  184,    0
197384,20060520,  144,    0
197384,20060521,  153,    0
197384,20060522,  181,    0
197384,20060523,  164,    0
197384,20060524,  130,    0
197384,20060525,  135,    0
197384,20060526,  162,    0
197384,20060527,  204,    0
197384,20060528,  214,    0
197384,20060529,  178,    0
197384,20060530,   76,    0
197384,20060531,   73,    0
197384,20060601,   85,    0
197384,20060602,   62,    0
197384,20060603,  100,    0
197384,20060604,  135,    0
197384,20060605,  132,    0
197384,20060606,  121,    0
197384,20060607,  112,    0
197384,20060608,  122,    0
197384,20060609,  123,    0
197384,20060610,  152,    0
197384,20060611,  143,    0
197384,20060612,  142,    0
197384,20060613,  179,    0
197384,20060614,  206,    0
197384,20060615,  215,    0
197384,20060616,  207,    0
197384,20060617,  222,    0
197384,20060618,  220,    0
197384,20060619,  224,    0
197384,20060620,  231,    0
197384,20060621,  240,    0
197384,20060622,  239,    0
197384,20060623,  225,    0
197384,20060624,  227,    0
197384,20060625,  232,    0
197384,20060626,  240,    0
197384,20060627,  247,    0
197384,20060628,  251,    0
197384,20060629,  220,    0
197384,20060630,  221,    0
197384,20060701,  222,    0
197384,20060702,  201,    0
197384,20060703,  203,    0
197384,20060704,  201,    0
197384,20060705,  207,    0
197384,20060706,  196,    0
197384,20060707,  152,    0
197384,20060708,  173,    0
197384,20060709,  198,    0
197384,20060710,  215,    0
197384,20060711,  225,    0
197384,20060712,  231,    0
197384,20060713,  208,    0
197384,20060714,  218,    0
197384,20060715,  220,    0
197384,20060716,  206,    0
197384,20060717,  198,    0
197384,20060718,  201,    0
197384,20060719,  218,    0
197384,20060720,  243,    0
197384,20060721,  252,    0
197384,20060722,  256,    0
197384,20060723,  227,    0
197384,20060724,  221,    0
197384,20060725,  230,    0
197384,20060726,  221,    0
197384,20060727,  216,    0
197384,20060728,  239,    0
197384,20060729,  193,    0
197384,20060730,  214,    0
197384,20060731,  226,    0
197384,20060801,  228,    0
197384,20060802,  190,    0
197384,20060803,  162,    0
197384,20060804,  157,    0
197384,20060805,  152,    0
197384,20060806,  157,    0
197384,20060807,  192,    0
197384,20060808,  183,    0
197384,20060809,  170,    0
197384,20060810,  162,    0
197384,20060811,  139,    0
197384,20060812,  120,    0
197384,20060813,  145,    0
197384,20060814,  139,    0
197384,20060815,  170,    0
197384,20060816,  182,    0
197384,20060817,  200,    0
197384,20060818,  200,    0
197384,20060819,  184,    0
