EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, SELVA_FERRIERE (STAID: 17807).
Blended and updated with sources: 197424 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
197424,20051201,-9999,    9
197424,20051202,-9999,    9
197424,20051203,-9999,    9
197424,20051204,-9999,    9
197424,20051205,-9999,    9
197424,20051206,-9999,    9
197424,20051207,-9999,    9
197424,20051208,-9999,    9
197424,20051209,-9999,    9
197424,20051210,-9999,    9
197424,20051211,-9999,    9
197424,20051212,-9999,    9
197424,20051213,-9999,    9
197424,20051214,-9999,    9
197424,20051215,-9999,    9
197424,20051216,-9999,    9
197424,20051217,-9999,    9
197424,20051218,-9999,    9
197424,20051219,-9999,    9
197424,20051220,-9999,    9
197424,20051221,-9999,    9
197424,20051222,-9999,    9
197424,20051223,-9999,    9
197424,20051224,-9999,    9
197424,20051225,-9999,    9
197424,20051226,-9999,    9
197424,20051227,-9999,    9
197424,20051228,-9999,    9
197424,20051229,-9999,    9
197424,20051230,-9999,    9
197424,20051231,  -16,    0
197424,20060101,  -10,    0
197424,20060102,   -8,    0
197424,20060103,   -3,    0
197424,20060104,  -20,    0
197424,20060105,  -32,    0
197424,20060106,  -21,    0
197424,20060107,  -10,    0
197424,20060108,  -29,    0
197424,20060109,  -49,    0
197424,20060110,  -26,    0
197424,20060111,   -8,    0
197424,20060112,   -1,    0
197424,20060113,  -26,    0
197424,20060114,  -12,    0
197424,20060115,  -51,    0
197424,20060116,  -50,    0
197424,20060117,  -12,    0
197424,20060118,   39,    0
197424,20060119,   39,    0
197424,20060120,   34,    0
197424,20060121,   29,    0
197424,20060122,    0,    0
197424,20060123,  -35,    0
197424,20060124,  -71,    0
197424,20060125,  -38,    0
197424,20060126,  -69,    0
197424,20060127,  -58,    0
197424,20060128,   -7,    0
197424,20060129,   16,    0
197424,20060130,   22,    0
197424,20060131,   47,    0
197424,20060201,   71,    0
197424,20060202,   66,    0
197424,20060203,   21,    0
197424,20060204,   16,    0
197424,20060205,  -29,    0
197424,20060206,  -41,    0
197424,20060207,  -14,    0
197424,20060208,   10,    0
197424,20060209,   16,    0
197424,20060210,  -13,    0
197424,20060211,  -16,    0
197424,20060212,  -14,    0
197424,20060213,   -8,    0
197424,20060214,    7,    0
197424,20060215,   29,    0
197424,20060216,   46,    0
197424,20060217,   48,    0
197424,20060218,   32,    0
197424,20060219,   30,    0
197424,20060220,   21,    0
197424,20060221,    0,    0
197424,20060222,    3,    0
197424,20060223,    0,    0
197424,20060224,  -19,    0
197424,20060225,  -16,    0
197424,20060226,    4,    0
197424,20060227,  -12,    0
197424,20060228,  -24,    0
197424,20060301,  -12,    0
197424,20060302,  -15,    0
197424,20060303,   26,    0
197424,20060304,   44,    0
197424,20060305,   41,    0
197424,20060306,  -15,    0
197424,20060307,  -16,    0
197424,20060308,   -4,    0
197424,20060309,   46,    0
197424,20060310,   44,    0
197424,20060311,   12,    0
197424,20060312,  -21,    0
197424,20060313,  -15,    0
197424,20060314,   23,    0
197424,20060315,   20,    0
197424,20060316,   -3,    0
197424,20060317,    9,    0
197424,20060318,   14,    0
197424,20060319,   20,    0
197424,20060320,   41,    0
197424,20060321,   29,    0
197424,20060322,   32,    0
197424,20060323,   57,    0
197424,20060324,   38,    0
197424,20060325,   57,    0
197424,20060326,   78,    0
197424,20060327,   78,    0
197424,20060328,   69,    0
197424,20060329,   78,    0
197424,20060330,   65,    0
197424,20060331,   77,    0
197424,20060401,   83,    0
197424,20060402,   90,    0
197424,20060403,  100,    0
197424,20060404,   80,    0
197424,20060405,   58,    0
197424,20060406,   29,    0
197424,20060407,   32,    0
197424,20060408,   49,    0
197424,20060409,   67,    0
197424,20060410,   70,    0
197424,20060411,   14,    0
197424,20060412,   51,    0
197424,20060413,   77,    0
197424,20060414,   94,    0
197424,20060415,   79,    0
197424,20060416,   98,    0
197424,20060417,   88,    0
197424,20060418,   68,    0
197424,20060419,   90,    0
197424,20060420,   85,    0
197424,20060421,   92,    0
197424,20060422,  115,    0
197424,20060423,  121,    0
197424,20060424,  131,    0
197424,20060425,  114,    0
197424,20060426,  103,    0
197424,20060427,  106,    0
197424,20060428,   85,    0
197424,20060429,   98,    0
197424,20060430,   74,    0
197424,20060501,   86,    0
197424,20060502,   91,    0
197424,20060503,  105,    0
197424,20060504,  118,    0
197424,20060505,  101,    0
197424,20060506,   95,    0
197424,20060507,  101,    0
197424,20060508,  106,    0
197424,20060509,   58,    0
197424,20060510,   83,    0
197424,20060511,   94,    0
197424,20060512,  122,    0
197424,20060513,  113,    0
197424,20060514,  130,    0
197424,20060515,  146,    0
197424,20060516,  145,    0
197424,20060517,  177,    0
197424,20060518,  176,    0
197424,20060519,  159,    0
197424,20060520,  134,    0
197424,20060521,  136,    0
197424,20060522,  163,    0
197424,20060523,  131,    0
197424,20060524,  117,    0
197424,20060525,  140,    0
197424,20060526,  163,    0
197424,20060527,  197,    0
197424,20060528,  188,    0
197424,20060529,  162,    0
197424,20060530,  104,    0
197424,20060531,   58,    0
197424,20060601,   87,    0
197424,20060602,   61,    0
197424,20060603,  113,    0
197424,20060604,  127,    0
197424,20060605,  129,    0
197424,20060606,  121,    0
197424,20060607,  114,    0
197424,20060608,  124,    0
197424,20060609,  129,    0
197424,20060610,  142,    0
197424,20060611,  139,    0
197424,20060612,  142,    0
197424,20060613,  175,    0
197424,20060614,  186,    0
197424,20060615,  192,    0
197424,20060616,  182,    0
197424,20060617,  200,    0
197424,20060618,  193,    0
197424,20060619,  198,    0
197424,20060620,  228,    0
197424,20060621,  229,    0
197424,20060622,  220,    0
197424,20060623,  210,    0
197424,20060624,  208,    0
197424,20060625,  210,    0
197424,20060626,  215,    0
197424,20060627,  221,    0
197424,20060628,  229,    0
197424,20060629,  201,    0
197424,20060630,  213,    0
197424,20060701,  218,    0
197424,20060702,  201,    0
197424,20060703,  203,    0
197424,20060704,  206,    0
197424,20060705,  203,    0
197424,20060706,  183,    0
197424,20060707,  158,    0
197424,20060708,  178,    0
197424,20060709,  186,    0
197424,20060710,  209,    0
197424,20060711,  229,    0
197424,20060712,  221,    0
197424,20060713,  191,    0
197424,20060714,  206,    0
197424,20060715,  209,    0
197424,20060716,  209,    0
197424,20060717,  197,    0
197424,20060718,  200,    0
197424,20060719,  209,    0
197424,20060720,  234,    0
197424,20060721,  238,    0
197424,20060722,  227,    0
197424,20060723,  216,    0
197424,20060724,  213,    0
197424,20060725,  220,    0
197424,20060726,  210,    0
197424,20060727,  219,    0
197424,20060728,  212,    0
197424,20060729,  196,    0
197424,20060730,  217,    0
197424,20060731,  229,    0
197424,20060801,  208,    0
197424,20060802,  194,    0
197424,20060803,  157,    0
197424,20060804,  159,    0
197424,20060805,  145,    0
197424,20060806,  167,    0
197424,20060807,  183,    0
197424,20060808,  175,    0
197424,20060809,  155,    0
197424,20060810,  158,    0
197424,20060811,  151,    0
197424,20060812,  120,    0
197424,20060813,  128,    0
197424,20060814,  125,    0
197424,20060815,  147,    0
197424,20060816,  138,    0
197424,20060817,  178,    0
197424,20060818,  167,    0
197424,20060819,  171,    0
197424,20060820,  176,    0
197424,20060821,  170,    0
197424,20060822,  174,    0
197424,20060823,  170,    0
197424,20060824,  160,    0
197424,20060825,  158,    0
197424,20060826,  149,    0
197424,20060827,  152,    0
197424,20060828,  147,    0
197424,20060829,  155,    0
197424,20060830,  130,    0
197424,20060831,  140,    0
197424,20060901,  151,    0
197424,20060902,  152,    0
197424,20060903,  184,    0
197424,20060904,  220,    0
197424,20060905,  232,    0
197424,20060906,  210,    0
197424,20060907,  203,    0
197424,20060908,  180,    0
197424,20060909,  158,    0
197424,20060910,  148,    0
197424,20060911,  144,    0
197424,20060912,  147,    0
197424,20060913,  141,    0
197424,20060914,  140,    0
197424,20060915,  145,    0
197424,20060916,  138,    0
197424,20060917,  117,    0
197424,20060918,  148,    0
197424,20060919,  150,    0
197424,20060920,  151,    0
