EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, SELVANIZZA (STAID: 17808).
Blended and updated with sources: 197432 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
197432,20140601,-9999,    9
197432,20140602,-9999,    9
197432,20140603,-9999,    9
197432,20140604,-9999,    9
197432,20140605,-9999,    9
197432,20140606,-9999,    9
197432,20140607,-9999,    9
197432,20140608,-9999,    9
197432,20140609,-9999,    9
197432,20140610,-9999,    9
197432,20140611,-9999,    9
197432,20140612,-9999,    9
197432,20140613,-9999,    9
197432,20140614,-9999,    9
197432,20140615,-9999,    9
197432,20140616,-9999,    9
197432,20140617,-9999,    9
197432,20140618,-9999,    9
197432,20140619,-9999,    9
197432,20140620,-9999,    9
197432,20140621,-9999,    9
197432,20140622,-9999,    9
197432,20140623,-9999,    9
197432,20140624,-9999,    9
197432,20140625,-9999,    9
197432,20140626,-9999,    9
197432,20140627,-9999,    9
197432,20140628,  217,    0
197432,20140629,  192,    0
197432,20140630,  185,    0
197432,20140701,  186,    0
197432,20140702,  191,    0
197432,20140703,  197,    0
197432,20140704,  186,    0
197432,20140705,  200,    0
197432,20140706,  211,    0
197432,20140707,  208,    0
197432,20140708,  168,    0
197432,20140709,  149,    0
197432,20140710,  162,    0
197432,20140711,  182,    0
197432,20140712,  184,    0
197432,20140713,  181,    0
197432,20140714,  172,    0
197432,20140715,  198,    0
197432,20140716,  214,    0
197432,20140717,  226,    0
197432,20140718,  229,    0
197432,20140719,  238,    0
197432,20140720,  208,    0
197432,20140721,  165,    0
197432,20140722,  196,    0
197432,20140723,  209,    0
197432,20140724,  188,    0
197432,20140725,  202,    0
197432,20140726,  179,    0
197432,20140727,  193,    0
197432,20140728,  213,    0
197432,20140729,  180,    0
197432,20140730,  163,    0
197432,20140731,  210,    0
197432,20140801,  211,    0
197432,20140802,  198,    0
197432,20140803,  188,    0
197432,20140804,  200,    0
197432,20140805,  198,    0
197432,20140806,  201,    0
197432,20140807,  199,    0
197432,20140808,  216,    0
197432,20140809,  210,    0
197432,20140810,  219,    0
197432,20140811,  215,    0
197432,20140812,  234,    0
197432,20140813,  217,    0
197432,20140814,  187,    0
197432,20140815,  172,    0
197432,20140816,  152,    0
197432,20140817,  162,    0
197432,20140818,  167,    0
197432,20140819,  178,    0
197432,20140820,  195,    0
197432,20140821,  193,    0
197432,20140822,  175,    0
197432,20140823,  176,    0
197432,20140824,  183,    0
197432,20140825,  172,    0
197432,20140826,  196,    0
197432,20140827,  227,    0
197432,20140828,  185,    0
197432,20140829,  195,    0
197432,20140830,  202,    0
197432,20140831,  206,    0
197432,20140901,  159,    0
197432,20140902,  153,    0
197432,20140903,  143,    0
197432,20140904,  159,    0
197432,20140905,  177,    0
197432,20140906,  186,    0
197432,20140907,  187,    0
197432,20140908,  196,    0
197432,20140909,  201,    0
197432,20140910,  184,    0
197432,20140911,  176,    0
197432,20140912,  155,    0
197432,20140913,  160,    0
197432,20140914,  161,    0
197432,20140915,  167,    0
197432,20140916,  167,    0
197432,20140917,  165,    0
197432,20140918,  165,    0
197432,20140919,  167,    0
197432,20140920,  181,    0
197432,20140921,  185,    0
197432,20140922,  172,    0
197432,20140923,  129,    0
197432,20140924,  120,    0
197432,20140925,  138,    0
197432,20140926,  137,    0
197432,20140927,  147,    0
197432,20140928,  151,    0
197432,20140929,  158,    0
197432,20140930,  163,    0
197432,20141001,  152,    0
197432,20141002,  148,    0
197432,20141003,  136,    0
197432,20141004,  128,    0
197432,20141005,  126,    0
197432,20141006,  126,    0
197432,20141007,  128,    0
197432,20141008,  153,    0
197432,20141009,  145,    0
197432,20141010,  171,    0
197432,20141011,  148,    0
197432,20141012,  157,    0
197432,20141013,  159,    0
197432,20141014,  154,    0
197432,20141015,  157,    0
197432,20141016,  179,    0
197432,20141017,  199,    0
197432,20141018,  172,    0
197432,20141019,  165,    0
197432,20141020,  146,    0
197432,20141021,  177,    0
197432,20141022,  124,    0
197432,20141023,  106,    0
197432,20141024,  101,    0
197432,20141025,   83,    0
197432,20141026,   81,    0
197432,20141027,   62,    0
197432,20141028,   56,    0
197432,20141029,   54,    0
197432,20141030,   58,    0
197432,20141031,   68,    0
197432,20141101,   80,    0
197432,20141102,   83,    0
197432,20141103,   90,    0
197432,20141104,  126,    0
197432,20141105,  121,    0
197432,20141106,  103,    0
197432,20141107,  107,    0
197432,20141108,  114,    0
197432,20141109,  105,    0
197432,20141110,  119,    0
197432,20141111,  116,    0
197432,20141112,  110,    0
197432,20141113,  104,    0
197432,20141114,  100,    0
197432,20141115,  111,    0
197432,20141116,  111,    0
197432,20141117,   76,    0
197432,20141118,   88,    0
197432,20141119,   56,    0
197432,20141120,   53,    0
197432,20141121,   64,    0
197432,20141122,   79,    0
197432,20141123,   94,    0
197432,20141124,   92,    0
197432,20141125,  105,    0
197432,20141126,   73,    0
197432,20141127,   65,    0
197432,20141128,   70,    0
197432,20141129,  100,    0
197432,20141130,  100,    0
197432,20141201,  100,    0
197432,20141202,   87,    0
197432,20141203,   69,    0
197432,20141204,   71,    0
197432,20141205,   75,    0
197432,20141206,   79,    0
197432,20141207,   62,    0
197432,20141208,   45,    0
197432,20141209,   36,    0
197432,20141210,   25,    0
197432,20141211,   17,    0
197432,20141212,   53,    0
197432,20141213,   70,    0
197432,20141214,   54,    0
197432,20141215,   60,    0
197432,20141216,   59,    0
197432,20141217,   70,    0
197432,20141218,   46,    0
197432,20141219,   46,    0
197432,20141220,   40,    0
197432,20141221,   36,    0
197432,20141222,   16,    0
197432,20141223,   16,    0
197432,20141224,   33,    0
197432,20141225,   32,    0
197432,20141226,    4,    0
197432,20141227,   -8,    0
197432,20141228,  -12,    0
197432,20141229,  -19,    0
197432,20141230,  -34,    0
197432,20141231,  -53,    0
197432,20150101,  -30,    0
197432,20150102,    7,    0
197432,20150103,   41,    0
197432,20150104,   82,    0
197432,20150105,   27,    0
197432,20150106,   19,    0
197432,20150107,    3,    0
197432,20150108,   10,    0
197432,20150109,   46,    0
197432,20150110,  125,    0
197432,20150111,  114,    0
197432,20150112,   47,    0
197432,20150113,   58,    0
197432,20150114,   83,    0
197432,20150115,   98,    0
197432,20150116,   95,    0
197432,20150117,   89,    0
