EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, SERRAMAZZONI (STAID: 17812).
Blended and updated with sources: 197472 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
197472,20051201,-9999,    9
197472,20051202,-9999,    9
197472,20051203,-9999,    9
197472,20051204,-9999,    9
197472,20051205,-9999,    9
197472,20051206,-9999,    9
197472,20051207,-9999,    9
197472,20051208,-9999,    9
197472,20051209,-9999,    9
197472,20051210,-9999,    9
197472,20051211,-9999,    9
197472,20051212,-9999,    9
197472,20051213,-9999,    9
197472,20051214,-9999,    9
197472,20051215,-9999,    9
197472,20051216,-9999,    9
197472,20051217,-9999,    9
197472,20051218,-9999,    9
197472,20051219,-9999,    9
197472,20051220,-9999,    9
197472,20051221,-9999,    9
197472,20051222,-9999,    9
197472,20051223,-9999,    9
197472,20051224,-9999,    9
197472,20051225,-9999,    9
197472,20051226,-9999,    9
197472,20051227,-9999,    9
197472,20051228,-9999,    9
197472,20051229,-9999,    9
197472,20051230,-9999,    9
197472,20051231,  -39,    0
197472,20060101,  -30,    0
197472,20060102,   -4,    0
197472,20060103,    3,    0
197472,20060104,  -13,    0
197472,20060105,  -26,    0
197472,20060106,   -8,    0
197472,20060107,    0,    0
197472,20060108,  -16,    0
197472,20060109,  -31,    0
197472,20060110,  -17,    0
197472,20060111,   11,    0
197472,20060112,    8,    0
197472,20060113,  -12,    0
197472,20060114,  -12,    0
197472,20060115,  -42,    0
197472,20060116,  -47,    0
197472,20060117,  -28,    0
197472,20060118,   12,    0
197472,20060119,   40,    0
197472,20060120,   42,    0
197472,20060121,   29,    0
197472,20060122,    1,    0
197472,20060123,  -48,    0
197472,20060124,  -75,    0
197472,20060125,  -53,    0
197472,20060126,  -61,    0
197472,20060127,  -23,    0
197472,20060128,    5,    0
197472,20060129,   23,    0
197472,20060130,   24,    0
197472,20060131,   48,    0
197472,20060201,   80,    0
197472,20060202,   89,    0
197472,20060203,   41,    0
197472,20060204,   25,    0
197472,20060205,  -34,    0
197472,20060206,  -43,    0
197472,20060207,  -31,    0
197472,20060208,    3,    0
197472,20060209,   23,    0
197472,20060210,    3,    0
197472,20060211,    4,    0
197472,20060212,   -3,    0
197472,20060213,   -4,    0
197472,20060214,    7,    0
197472,20060215,   31,    0
197472,20060216,   50,    0
197472,20060217,   62,    0
197472,20060218,   64,    0
197472,20060219,   60,    0
197472,20060220,   38,    0
197472,20060221,    0,    0
197472,20060222,    7,    0
197472,20060223,    5,    0
197472,20060224,  -17,    0
197472,20060225,  -11,    0
197472,20060226,    3,    0
197472,20060227,  -10,    0
197472,20060228,  -32,    0
197472,20060301,   -9,    0
197472,20060302,  -16,    0
197472,20060303,   41,    0
197472,20060304,   72,    0
197472,20060305,   50,    0
197472,20060306,  -23,    0
197472,20060307,  -10,    0
197472,20060308,    1,    0
197472,20060309,   21,    0
197472,20060310,   28,    0
197472,20060311,    5,    0
197472,20060312,  -33,    0
197472,20060313,  -20,    0
197472,20060314,    0,    0
197472,20060315,   10,    0
197472,20060316,  -10,    0
197472,20060317,    4,    0
197472,20060318,    3,    0
197472,20060319,    8,    0
197472,20060320,   34,    0
197472,20060321,   31,    0
197472,20060322,   30,    0
197472,20060323,   56,    0
197472,20060324,   46,    0
197472,20060325,   51,    0
197472,20060326,   81,    0
197472,20060327,   83,    0
197472,20060328,   89,    0
197472,20060329,   89,    0
197472,20060330,   91,    0
197472,20060331,  109,    0
197472,20060401,   87,    0
197472,20060402,   90,    0
197472,20060403,   96,    0
197472,20060404,   80,    0
197472,20060405,   71,    0
197472,20060406,   19,    0
197472,20060407,   17,    0
197472,20060408,   54,    0
197472,20060409,   79,    0
197472,20060410,   84,    0
197472,20060411,   24,    0
197472,20060412,   53,    0
197472,20060413,   76,    0
197472,20060414,  119,    0
197472,20060415,   91,    0
197472,20060416,  104,    0
197472,20060417,   90,    0
197472,20060418,   70,    0
197472,20060419,   82,    0
197472,20060420,  104,    0
197472,20060421,  117,    0
197472,20060422,  136,    0
197472,20060423,  144,    0
197472,20060424,  142,    0
197472,20060425,  124,    0
197472,20060426,  115,    0
197472,20060427,   91,    0
197472,20060428,   76,    0
197472,20060429,   87,    0
197472,20060430,   48,    0
197472,20060501,   69,    0
197472,20060502,   97,    0
197472,20060503,  102,    0
197472,20060504,  109,    0
