EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, SIVIZZANO (STAID: 17815).
Blended and updated with sources: 195648 197504 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
197504,20051201,-9999,    9
197504,20051202,-9999,    9
197504,20051203,-9999,    9
197504,20051204,-9999,    9
197504,20051205,-9999,    9
197504,20051206,-9999,    9
197504,20051207,-9999,    9
197504,20051208,-9999,    9
197504,20051209,-9999,    9
197504,20051210,-9999,    9
197504,20051211,-9999,    9
197504,20051212,-9999,    9
197504,20051213,-9999,    9
197504,20051214,-9999,    9
197504,20051215,-9999,    9
197504,20051216,-9999,    9
197504,20051217,-9999,    9
197504,20051218,-9999,    9
197504,20051219,-9999,    9
197504,20051220,-9999,    9
197504,20051221,-9999,    9
197504,20051222,-9999,    9
197504,20051223,-9999,    9
197504,20051224,-9999,    9
197504,20051225,-9999,    9
197504,20051226,-9999,    9
197504,20051227,-9999,    9
197504,20051228,-9999,    9
197504,20051229,-9999,    9
197504,20051230,-9999,    9
197504,20051231,  -17,    0
197504,20060101,  -10,    0
197504,20060102,   16,    0
197504,20060103,   36,    0
197504,20060104,   30,    0
197504,20060105,   25,    0
197504,20060106,   36,    0
197504,20060107,   29,    0
197504,20060108,   15,    0
197504,20060109,   10,    0
197504,20060110,   10,    0
197504,20060111,   28,    0
197504,20060112,   23,    0
197504,20060113,   11,    0
197504,20060114,    8,    0
197504,20060115,  -18,    0
197504,20060116,   -9,    0
197504,20060117,  -10,    0
197504,20060118,    5,    0
197504,20060119,   17,    0
197504,20060120,   23,    0
197504,20060121,   13,    0
197504,20060122,   27,    0
197504,20060123,    5,    0
197504,20060124,  -23,    0
197504,20060125,  -19,    0
197504,20060126,  -37,    0
197504,20060127,  -19,    0
197504,20060128,   16,    0
197504,20060129,   27,    0
197504,20060130,   37,    0
197504,20060131,   65,    0
197504,20060201,   76,    0
197504,20060202,   80,    0
197504,20060203,   67,    0
197504,20060204,   49,    0
197504,20060205,    8,    0
197504,20060206,   -1,    0
197504,20060207,   -3,    0
197504,20060208,   11,    0
197504,20060209,   38,    0
197504,20060210,   44,    0
197504,20060211,   44,    0
197504,20060212,   25,    0
197504,20060213,   26,    0
197504,20060214,   30,    0
197504,20060215,   22,    0
197504,20060216,   15,    0
197504,20060217,   73,    0
197504,20060218,   74,    0
197504,20060219,   39,    0
197504,20060220,   47,    0
