EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, TARSOGNO (STAID: 17822).
Blended and updated with sources: 197584 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
197584,20051201,-9999,    9
197584,20051202,-9999,    9
197584,20051203,-9999,    9
197584,20051204,-9999,    9
197584,20051205,-9999,    9
197584,20051206,-9999,    9
197584,20051207,-9999,    9
197584,20051208,-9999,    9
197584,20051209,-9999,    9
197584,20051210,-9999,    9
197584,20051211,-9999,    9
197584,20051212,-9999,    9
197584,20051213,-9999,    9
197584,20051214,-9999,    9
197584,20051215,-9999,    9
197584,20051216,-9999,    9
197584,20051217,-9999,    9
197584,20051218,-9999,    9
197584,20051219,-9999,    9
197584,20051220,-9999,    9
197584,20051221,-9999,    9
197584,20051222,-9999,    9
197584,20051223,-9999,    9
197584,20051224,-9999,    9
197584,20051225,-9999,    9
197584,20051226,-9999,    9
197584,20051227,-9999,    9
197584,20051228,-9999,    9
197584,20051229,-9999,    9
197584,20051230,-9999,    9
197584,20051231,  -23,    0
197584,20060101,  -22,    0
197584,20060102,   -5,    0
197584,20060103,    8,    0
197584,20060104,   -3,    0
197584,20060105,  -17,    0
197584,20060106,   -9,    0
197584,20060107,    0,    0
197584,20060108,  -11,    0
197584,20060109,  -32,    0
197584,20060110,  -20,    0
197584,20060111,   -1,    0
197584,20060112,    2,    0
197584,20060113,  -18,    0
197584,20060114,  -12,    0
197584,20060115,  -43,    0
197584,20060116,  -40,    0
197584,20060117,   -6,    0
197584,20060118,   36,    0
197584,20060119,   42,    0
197584,20060120,   37,    0
197584,20060121,   37,    0
197584,20060122,    7,    0
197584,20060123,  -30,    0
197584,20060124,  -58,    0
197584,20060125,  -34,    0
197584,20060126,  -62,    0
197584,20060127,  -52,    0
197584,20060128,   -5,    0
197584,20060129,   17,    0
197584,20060130,   28,    0
197584,20060131,   49,    0
197584,20060201,   68,    0
197584,20060202,   72,    0
197584,20060203,   33,    0
197584,20060204,   30,    0
197584,20060205,  -22,    0
197584,20060206,  -40,    0
197584,20060207,   -8,    0
197584,20060208,   23,    0
197584,20060209,   24,    0
197584,20060210,    2,    0
197584,20060211,    1,    0
197584,20060212,    0,    0
197584,20060213,    3,    0
197584,20060214,    9,    0
197584,20060215,   35,    0
197584,20060216,   54,    0
197584,20060217,   49,    0
197584,20060218,   47,    0
197584,20060219,   46,    0
197584,20060220,   31,    0
197584,20060221,    6,    0
197584,20060222,   11,    0
197584,20060223,   12,    0
197584,20060224,   -9,    0
197584,20060225,   -5,    0
197584,20060226,   11,    0
197584,20060227,   -4,    0
197584,20060228,  -10,    0
197584,20060301,    0,    0
197584,20060302,   -3,    0
197584,20060303,   38,    0
197584,20060304,   58,    0
197584,20060305,   51,    0
197584,20060306,    0,    0
197584,20060307,   -2,    0
197584,20060308,    5,    0
197584,20060309,   52,    0
197584,20060310,   56,    0
197584,20060311,   19,    0
197584,20060312,  -10,    0
197584,20060313,    0,    0
197584,20060314,   33,    0
197584,20060315,   27,    0
197584,20060316,    5,    0
197584,20060317,   23,    0
197584,20060318,   24,    0
197584,20060319,   28,    0
197584,20060320,   50,    0
197584,20060321,   40,    0
197584,20060322,   39,    0
197584,20060323,   67,    0
197584,20060324,   49,    0
197584,20060325,   62,    0
197584,20060326,   71,    0
197584,20060327,   73,    0
197584,20060328,   69,    0
197584,20060329,   73,    0
197584,20060330,   61,    0
197584,20060331,   73,    0
197584,20060401,   91,    0
197584,20060402,  103,    0
197584,20060403,  111,    0
197584,20060404,   89,    0
197584,20060405,   68,    0
197584,20060406,   40,    0
197584,20060407,   44,    0
197584,20060408,   57,    0
197584,20060409,   74,    0
197584,20060410,   79,    0
197584,20060411,   29,    0
197584,20060412,   58,    0
197584,20060413,   88,    0
197584,20060414,   94,    0
197584,20060415,   83,    0
197584,20060416,   94,    0
197584,20060417,  105,    0
197584,20060418,   86,    0
197584,20060419,  107,    0
197584,20060420,   99,    0
197584,20060421,  105,    0
197584,20060422,  131,    0
197584,20060423,  127,    0
197584,20060424,  145,    0
197584,20060425,  138,    0
197584,20060426,  112,    0
197584,20060427,  114,    0
197584,20060428,  102,    0
197584,20060429,  109,    0
197584,20060430,   81,    0
197584,20060501,   95,    0
197584,20060502,  103,    0
197584,20060503,  118,    0
197584,20060504,  124,    0
197584,20060505,  114,    0
197584,20060506,  114,    0
197584,20060507,  120,    0
197584,20060508,  115,    0
197584,20060509,   70,    0
197584,20060510,   95,    0
197584,20060511,  105,    0
197584,20060512,  132,    0
197584,20060513,  123,    0
197584,20060514,  136,    0
197584,20060515,  147,    0
197584,20060516,  143,    0
197584,20060517,  144,    0
197584,20060518,  163,    0
197584,20060519,  152,    0
197584,20060520,  128,    0
197584,20060521,  130,    0
197584,20060522,  160,    0
197584,20060523,  133,    0
197584,20060524,  124,    0
197584,20060525,  134,    0
197584,20060526,  164,    0
197584,20060527,  185,    0
197584,20060528,  168,    0
197584,20060529,  144,    0
197584,20060530,  104,    0
197584,20060531,   74,    0
197584,20060601,   99,    0
197584,20060602,   69,    0
197584,20060603,  124,    0
197584,20060604,  135,    0
197584,20060605,  131,    0
197584,20060606,  119,    0
197584,20060607,  121,    0
197584,20060608,  135,    0
197584,20060609,  133,    0
197584,20060610,  146,    0
197584,20060611,  142,    0
197584,20060612,  149,    0
197584,20060613,  173,    0
197584,20060614,  172,    0
197584,20060615,  178,    0
197584,20060616,  180,    0
197584,20060617,  193,    0
197584,20060618,  198,    0
197584,20060619,  199,    0
197584,20060620,  226,    0
197584,20060621,  223,    0
197584,20060622,  219,    0
197584,20060623,  221,    0
197584,20060624,  222,    0
197584,20060625,  220,    0
197584,20060626,  220,    0
197584,20060627,  225,    0
197584,20060628,  233,    0
197584,20060629,  214,    0
197584,20060630,  221,    0
197584,20060701,  224,    0
197584,20060702,  208,    0
197584,20060703,  206,    0
197584,20060704,  203,    0
197584,20060705,  208,    0
197584,20060706,  181,    0
197584,20060707,  160,    0
197584,20060708,  182,    0
197584,20060709,  197,    0
197584,20060710,  217,    0
197584,20060711,  228,    0
197584,20060712,  230,    0
197584,20060713,  195,    0
197584,20060714,  214,    0
197584,20060715,  215,    0
197584,20060716,  214,    0
197584,20060717,  203,    0
197584,20060718,  204,    0
197584,20060719,  217,    0
197584,20060720,  240,    0
197584,20060721,  246,    0
197584,20060722,  242,    0
197584,20060723,  207,    0
197584,20060724,  209,    0
197584,20060725,  223,    0
197584,20060726,  215,    0
197584,20060727,  228,    0
197584,20060728,  213,    0
197584,20060729,  202,    0
197584,20060730,  209,    0
197584,20060731,  233,    0
197584,20060801,  205,    0
197584,20060802,  202,    0
197584,20060803,  153,    0
197584,20060804,  158,    0
197584,20060805,  145,    0
197584,20060806,  172,    0
197584,20060807,  183,    0
197584,20060808,  183,    0
197584,20060809,  166,    0
197584,20060810,  158,    0
197584,20060811,  151,    0
197584,20060812,  121,    0
197584,20060813,  126,    0
197584,20060814,  125,    0
197584,20060815,  154,    0
197584,20060816,  149,    0
197584,20060817,  186,    0
197584,20060818,  182,    0
197584,20060819,  169,    0
197584,20060820,  178,    0
197584,20060821,  171,    0
197584,20060822,  178,    0
197584,20060823,  175,    0
197584,20060824,  161,    0
197584,20060825,  166,    0
197584,20060826,  152,    0
197584,20060827,  156,    0
197584,20060828,  155,    0
197584,20060829,  155,    0
197584,20060830,  138,    0
197584,20060831,  147,    0
197584,20060901,  158,    0
197584,20060902,  152,    0
197584,20060903,  173,    0
197584,20060904,  190,    0
197584,20060905,  211,    0
197584,20060906,  216,    0
197584,20060907,  212,    0
197584,20060908,  184,    0
197584,20060909,  157,    0
197584,20060910,  148,    0
197584,20060911,  155,    0
197584,20060912,  147,    0
197584,20060913,  162,    0
197584,20060914,  144,    0
197584,20060915,  153,    0
197584,20060916,  143,    0
197584,20060917,  123,    0
197584,20060918,  146,    0
197584,20060919,  158,    0
197584,20060920,  163,    0
197584,20060921,  170,    0
197584,20060922,  166,    0
197584,20060923,  159,    0
197584,20060924,  139,    0
197584,20060925,  125,    0
197584,20060926,  124,    0
197584,20060927,  143,    0
197584,20060928,  149,    0
197584,20060929,  141,    0
197584,20060930,  137,    0
197584,20061001,  147,    0
197584,20061002,  149,    0
197584,20061003,  155,    0
197584,20061004,  124,    0
197584,20061005,  104,    0
197584,20061006,  108,    0
197584,20061007,  102,    0
197584,20061008,  104,    0
197584,20061009,  115,    0
197584,20061010,  115,    0
197584,20061011,  120,    0
197584,20061012,  120,    0
197584,20061013,  118,    0
197584,20061014,  113,    0
197584,20061015,   93,    0
197584,20061016,   98,    0
197584,20061017,   82,    0
197584,20061018,   89,    0
197584,20061019,   88,    0
197584,20061020,   91,    0
197584,20061021,   98,    0
197584,20061022,  116,    0
197584,20061023,  135,    0
197584,20061024,  145,    0
197584,20061025,  127,    0
197584,20061026,  128,    0
197584,20061027,  157,    0
197584,20061028,  153,    0
197584,20061029,  173,    0
197584,20061030,  137,    0
197584,20061031,  112,    0
197584,20061101,  118,    0
197584,20061102,   43,    0
197584,20061103,   24,    0
197584,20061104,   44,    0
197584,20061105,   79,    0
197584,20061106,   88,    0
197584,20061107,   88,    0
197584,20061108,   97,    0
197584,20061109,  103,    0
197584,20061110,   86,    0
197584,20061111,   75,    0
197584,20061112,  102,    0
197584,20061113,   99,    0
197584,20061114,  102,    0
197584,20061115,  100,    0
197584,20061116,  108,    0
197584,20061117,  117,    0
197584,20061118,   92,    0
197584,20061119,   86,    0
197584,20061120,   72,    0
197584,20061121,   66,    0
197584,20061122,   53,    0
