EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, TEODORANO (STAID: 17824).
Blended and updated with sources: 197600 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
197600,20070101,-9999,    9
197600,20070102,-9999,    9
197600,20070103,-9999,    9
197600,20070104,-9999,    9
197600,20070105,-9999,    9
197600,20070106,-9999,    9
197600,20070107,-9999,    9
197600,20070108,-9999,    9
197600,20070109,-9999,    9
197600,20070110,-9999,    9
197600,20070111,    8,    0
197600,20070112,   53,    0
197600,20070113,   15,    0
197600,20070114,   45,    0
197600,20070115,   45,    0
197600,20070116,   22,    0
197600,20070117,   53,    0
197600,20070118,  102,    0
197600,20070119,  152,    0
197600,20070120,   57,    0
197600,20070121,   48,    0
197600,20070122,   75,    0
197600,20070123,  127,    0
197600,20070124,   56,    0
197600,20070125,   46,    0
197600,20070126,   17,    0
197600,20070127,    9,    0
197600,20070128,   43,    0
197600,20070129,   60,    0
197600,20070130,   15,    0
197600,20070131,   16,    0
197600,20070201,   22,    0
197600,20070202,   16,    0
197600,20070203,   33,    0
197600,20070204,    7,    0
197600,20070205,   13,    0
197600,20070206,   69,    0
197600,20070207,   57,    0
197600,20070208,   88,    0
197600,20070209,   75,    0
197600,20070210,   74,    0
197600,20070211,   78,    0
197600,20070212,   90,    0
197600,20070213,   90,    0
197600,20070214,   70,    0
197600,20070215,   64,    0
197600,20070216,   42,    0
197600,20070217,   33,    0
197600,20070218,   56,    0
197600,20070219,   65,    0
197600,20070220,   72,    0
197600,20070221,   89,    0
197600,20070222,   86,    0
197600,20070223,   70,    0
197600,20070224,   91,    0
197600,20070225,  107,    0
197600,20070226,   80,    0
197600,20070227,   59,    0
197600,20070228,  112,    0
197600,20070301,  146,    0
197600,20070302,  156,    0
197600,20070303,  156,    0
197600,20070304,  105,    0
197600,20070305,   87,    0
197600,20070306,   94,    0
197600,20070307,  100,    0
197600,20070308,   97,    0
197600,20070309,   91,    0
197600,20070310,   63,    0
197600,20070311,   62,    0
197600,20070312,   51,    0
197600,20070313,   66,    0
197600,20070314,   78,    0
197600,20070315,   82,    0
197600,20070316,   89,    0
197600,20070317,  121,    0
197600,20070318,  151,    0
197600,20070319,  106,    0
197600,20070320,   38,    0
197600,20070321,   43,    0
197600,20070322,   35,    0
197600,20070323,   31,    0
197600,20070324,   54,    0
197600,20070325,   61,    0
197600,20070326,   69,    0
197600,20070327,   72,    0
197600,20070328,   65,    0
197600,20070329,   60,    0
197600,20070330,   77,    0
197600,20070331,   82,    0
197600,20070401,   88,    0
197600,20070402,   89,    0
197600,20070403,   70,    0
197600,20070404,   81,    0
197600,20070405,   85,    0
197600,20070406,   85,    0
197600,20070407,  104,    0
197600,20070408,  108,    0
197600,20070409,  117,    0
197600,20070410,  125,    0
197600,20070411,  127,    0
197600,20070412,  131,    0
197600,20070413,  126,    0
197600,20070414,  131,    0
197600,20070415,  126,    0
197600,20070416,  125,    0
197600,20070417,  114,    0
197600,20070418,  137,    0
