EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, TORRIGLIA (STAID: 17828).
Blended and updated with sources: 197640 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
197640,20051201,-9999,    9
197640,20051202,-9999,    9
197640,20051203,-9999,    9
197640,20051204,-9999,    9
197640,20051205,-9999,    9
197640,20051206,-9999,    9
197640,20051207,-9999,    9
197640,20051208,-9999,    9
197640,20051209,-9999,    9
197640,20051210,-9999,    9
197640,20051211,-9999,    9
197640,20051212,-9999,    9
197640,20051213,-9999,    9
197640,20051214,-9999,    9
197640,20051215,-9999,    9
197640,20051216,-9999,    9
197640,20051217,-9999,    9
197640,20051218,-9999,    9
197640,20051219,-9999,    9
197640,20051220,-9999,    9
197640,20051221,-9999,    9
197640,20051222,-9999,    9
197640,20051223,-9999,    9
197640,20051224,-9999,    9
197640,20051225,-9999,    9
197640,20051226,-9999,    9
197640,20051227,-9999,    9
197640,20051228,-9999,    9
197640,20051229,-9999,    9
197640,20051230,-9999,    9
197640,20051231,    6,    0
197640,20060101,   -2,    0
197640,20060102,   16,    0
197640,20060103,   42,    0
197640,20060104,   25,    0
197640,20060105,    9,    0
197640,20060106,   14,    0
197640,20060107,   28,    0
197640,20060108,   18,    0
197640,20060109,    6,    0
197640,20060110,   24,    0
197640,20060111,   21,    0
197640,20060112,   23,    0
197640,20060113,   30,    0
197640,20060114,   36,    0
197640,20060115,  -18,    0
197640,20060116,  -16,    0
197640,20060117,   12,    0
197640,20060118,   42,    0
197640,20060119,   37,    0
197640,20060120,   43,    0
197640,20060121,   53,    0
197640,20060122,   35,    0
197640,20060123,    9,    0
197640,20060124,   -9,    0
197640,20060125,   -8,    0
197640,20060126,  -30,    0
197640,20060127,  -28,    0
197640,20060128,   14,    0
197640,20060129,   36,    0
197640,20060130,   66,    0
197640,20060131,   85,    0
197640,20060201,   87,    0
197640,20060202,   65,    0
197640,20060203,   46,    0
197640,20060204,   49,    0
197640,20060205,   19,    0
197640,20060206,   -6,    0
197640,20060207,    9,    0
197640,20060208,   35,    0
197640,20060209,   31,    0
197640,20060210,   32,    0
197640,20060211,   12,    0
197640,20060212,    4,    0
197640,20060213,    9,    0
197640,20060214,   28,    0
197640,20060215,   52,    0
197640,20060216,   63,    0
197640,20060217,   62,    0
197640,20060218,   55,    0
197640,20060219,   55,    0
197640,20060220,   47,    0
197640,20060221,   32,    0
197640,20060222,   29,    0
197640,20060223,   41,    0
197640,20060224,   22,    0
197640,20060225,   19,    0
197640,20060226,   28,    0
197640,20060227,   27,    0
197640,20060228,   11,    0
197640,20060301,   11,    0
197640,20060302,    9,    0
197640,20060303,   54,    0
197640,20060304,   73,    0
197640,20060305,   73,    0
197640,20060306,   31,    0
197640,20060307,   24,    0
197640,20060308,   18,    0
197640,20060309,   66,    0
197640,20060310,   76,    0
197640,20060311,   49,    0
197640,20060312,   14,    0
197640,20060313,   27,    0
197640,20060314,   42,    0
197640,20060315,   40,    0
197640,20060316,   31,    0
197640,20060317,   37,    0
197640,20060318,   43,    0
197640,20060319,   57,    0
197640,20060320,   67,    0
197640,20060321,   60,    0
197640,20060322,   65,    0
197640,20060323,   70,    0
197640,20060324,   62,    0
197640,20060325,   63,    0
197640,20060326,   78,    0
197640,20060327,   85,    0
197640,20060328,   77,    0
197640,20060329,   74,    0
197640,20060330,   75,    0
197640,20060331,   86,    0
197640,20060401,   96,    0
197640,20060402,  101,    0
197640,20060403,  116,    0
197640,20060404,   88,    0
197640,20060405,   76,    0
197640,20060406,   70,    0
197640,20060407,   65,    0
197640,20060408,   69,    0
197640,20060409,   80,    0
197640,20060410,   87,    0
197640,20060411,   55,    0
197640,20060412,   69,    0
197640,20060413,   87,    0
197640,20060414,   90,    0
197640,20060415,   92,    0
197640,20060416,  106,    0
197640,20060417,  107,    0
197640,20060418,  117,    0
197640,20060419,  110,    0
197640,20060420,  101,    0
197640,20060421,   93,    0
197640,20060422,  116,    0
197640,20060423,  115,    0
197640,20060424,  137,    0
197640,20060425,  137,    0
197640,20060426,  129,    0
197640,20060427,  119,    0
197640,20060428,  130,    0
197640,20060429,  123,    0
197640,20060430,  105,    0
197640,20060501,  105,    0
197640,20060502,  116,    0
197640,20060503,  132,    0
197640,20060504,  150,    0
197640,20060505,  141,    0
197640,20060506,  117,    0
197640,20060507,  118,    0
197640,20060508,  121,    0
197640,20060509,   98,    0
197640,20060510,  109,    0
197640,20060511,  116,    0
197640,20060512,  125,    0
197640,20060513,  123,    0
197640,20060514,  136,    0
197640,20060515,  143,    0
197640,20060516,  143,    0
197640,20060517,  145,    0
197640,20060518,  163,    0
197640,20060519,  154,    0
197640,20060520,  142,    0
197640,20060521,  149,    0
197640,20060522,  158,    0
197640,20060523,  144,    0
197640,20060524,  127,    0
197640,20060525,  134,    0
197640,20060526,  153,    0
197640,20060527,  167,    0
197640,20060528,  162,    0
197640,20060529,  152,    0
