EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, TREBBIO (STAID: 17831).
Blended and updated with sources: 195984 197672 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
197672,20051201,-9999,    9
197672,20051202,-9999,    9
197672,20051203,-9999,    9
197672,20051204,-9999,    9
197672,20051205,-9999,    9
197672,20051206,-9999,    9
197672,20051207,-9999,    9
197672,20051208,-9999,    9
197672,20051209,-9999,    9
197672,20051210,-9999,    9
197672,20051211,-9999,    9
197672,20051212,-9999,    9
197672,20051213,-9999,    9
197672,20051214,-9999,    9
197672,20051215,-9999,    9
197672,20051216,-9999,    9
197672,20051217,-9999,    9
197672,20051218,-9999,    9
197672,20051219,-9999,    9
197672,20051220,-9999,    9
197672,20051221,-9999,    9
197672,20051222,-9999,    9
197672,20051223,-9999,    9
197672,20051224,-9999,    9
197672,20051225,-9999,    9
197672,20051226,-9999,    9
197672,20051227,-9999,    9
197672,20051228,-9999,    9
197672,20051229,-9999,    9
197672,20051230,-9999,    9
197672,20051231,   -5,    0
197672,20060101,  -12,    0
197672,20060102,   10,    0
197672,20060103,   17,    0
197672,20060104,    6,    0
197672,20060105,    0,    0
197672,20060106,   10,    0
197672,20060107,   18,    0
197672,20060108,    5,    0
197672,20060109,  -15,    0
197672,20060110,   -5,    0
197672,20060111,   19,    0
197672,20060112,   14,    0
197672,20060113,   -2,    0
197672,20060114,   -9,    0
197672,20060115,  -20,    0
197672,20060116,  -27,    0
197672,20060117,   -1,    0
197672,20060118,   17,    0
197672,20060119,   40,    0
197672,20060120,   60,    0
197672,20060121,   50,    0
197672,20060122,    6,    0
197672,20060123,  -26,    0
197672,20060124,  -51,    0
197672,20060125,  -48,    0
197672,20060126,  -17,    0
197672,20060127,   19,    0
197672,20060128,   37,    0
197672,20060129,   41,    0
197672,20060130,   44,    0
197672,20060131,   58,    0
197672,20060201,   76,    0
197672,20060202,   95,    0
197672,20060203,   71,    0
197672,20060204,   44,    0
197672,20060205,  -10,    0
197672,20060206,  -27,    0
197672,20060207,   -6,    0
197672,20060208,   27,    0
197672,20060209,   38,    0
197672,20060210,   27,    0
197672,20060211,   26,    0
197672,20060212,   18,    0
197672,20060213,   17,    0
197672,20060214,   34,    0
