EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, TREPPIO (STAID: 17832).
Blended and updated with sources: 197688 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
197688,20051201,-9999,    9
197688,20051202,-9999,    9
197688,20051203,-9999,    9
197688,20051204,-9999,    9
197688,20051205,-9999,    9
197688,20051206,-9999,    9
197688,20051207,-9999,    9
197688,20051208,-9999,    9
197688,20051209,-9999,    9
197688,20051210,-9999,    9
197688,20051211,-9999,    9
197688,20051212,-9999,    9
197688,20051213,-9999,    9
197688,20051214,-9999,    9
197688,20051215,-9999,    9
197688,20051216,-9999,    9
197688,20051217,-9999,    9
197688,20051218,-9999,    9
197688,20051219,-9999,    9
197688,20051220,-9999,    9
197688,20051221,-9999,    9
197688,20051222,-9999,    9
197688,20051223,-9999,    9
197688,20051224,-9999,    9
197688,20051225,-9999,    9
197688,20051226,-9999,    9
197688,20051227,-9999,    9
197688,20051228,-9999,    9
197688,20051229,-9999,    9
197688,20051230,-9999,    9
197688,20051231,    3,    0
197688,20060101,   -5,    0
197688,20060102,    6,    0
197688,20060103,   22,    0
197688,20060104,   10,    0
197688,20060105,   -7,    0
197688,20060106,    4,    0
197688,20060107,   22,    0
197688,20060108,    9,    0
197688,20060109,  -13,    0
197688,20060110,   -7,    0
197688,20060111,    6,    0
197688,20060112,   10,    0
197688,20060113,    0,    0
197688,20060114,   -5,    0
197688,20060115,  -29,    0
197688,20060116,  -24,    0
197688,20060117,   13,    0
197688,20060118,   51,    0
197688,20060119,   22,    0
197688,20060120,   39,    0
197688,20060121,   48,    0
197688,20060122,   11,    0
197688,20060123,  -22,    0
197688,20060124,  -51,    0
197688,20060125,  -38,    0
197688,20060126,  -28,    0
197688,20060127,    5,    0
197688,20060128,   16,    0
197688,20060129,   23,    0
197688,20060130,   32,    0
197688,20060131,   52,    0
197688,20060201,   56,    0
197688,20060202,   58,    0
197688,20060203,   49,    0
197688,20060204,   42,    0
197688,20060205,   -1,    0
197688,20060206,  -27,    0
197688,20060207,  -13,    0
197688,20060208,   22,    0
197688,20060209,   26,    0
197688,20060210,   12,    0
197688,20060211,    1,    0
197688,20060212,    0,    0
197688,20060213,    0,    0
197688,20060214,   15,    0
197688,20060215,   47,    0
197688,20060216,   76,    0
197688,20060217,   78,    0
197688,20060218,   75,    0
197688,20060219,   75,    0
197688,20060220,   52,    0
197688,20060221,   27,    0
197688,20060222,   29,    0
197688,20060223,   32,    0
197688,20060224,    3,    0
197688,20060225,   10,    0
197688,20060226,   34,    0
197688,20060227,    7,    0
197688,20060228,    2,    0
197688,20060301,   15,    0
197688,20060302,    5,    0
197688,20060303,   52,    0
197688,20060304,   78,    0
197688,20060305,   67,    0
197688,20060306,    4,    0
197688,20060307,    5,    0
197688,20060308,   25,    0
197688,20060309,   68,    0
197688,20060310,   54,    0
197688,20060311,   15,    0
197688,20060312,   -4,    0
197688,20060313,   14,    0
197688,20060314,   24,    0
197688,20060315,   39,    0
197688,20060316,   16,    0
197688,20060317,   30,    0
197688,20060318,   30,    0
197688,20060319,   32,    0
197688,20060320,   56,    0
197688,20060321,   79,    0
197688,20060322,   57,    0
197688,20060323,   74,    0
197688,20060324,   57,    0
197688,20060325,   75,    0
197688,20060326,   91,    0
197688,20060327,  114,    0
197688,20060328,   97,    0
197688,20060329,   92,    0
197688,20060330,   97,    0
197688,20060331,  119,    0
197688,20060401,  123,    0
197688,20060402,  119,    0
197688,20060403,   99,    0
197688,20060404,  103,    0
197688,20060405,  102,    0
197688,20060406,   69,    0
197688,20060407,   54,    0
197688,20060408,   75,    0
197688,20060409,  110,    0
197688,20060410,  114,    0
197688,20060411,   58,    0
197688,20060412,   64,    0
197688,20060413,   85,    0
197688,20060414,  113,    0
197688,20060415,  119,    0
197688,20060416,  112,    0
197688,20060417,  121,    0
197688,20060418,  103,    0
197688,20060419,  106,    0
197688,20060420,  105,    0
