EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, VALSENIO (STAID: 17837).
Blended and updated with sources: 197728 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
197728,20110501,  150,    0
197728,20110502,  154,    0
197728,20110503,  160,    0
197728,20110504,  117,    0
197728,20110505,  112,    0
197728,20110506,  124,    0
197728,20110507,  154,    0
197728,20110508,  183,    0
197728,20110509,  130,    0
197728,20110510,  148,    0
197728,20110511,  180,    0
197728,20110512,  206,    0
197728,20110513,  200,    0
197728,20110514,  207,    0
197728,20110515,  125,    0
197728,20110516,  134,    0
197728,20110517,  152,    0
197728,20110518,  154,    0
197728,20110519,  168,    0
197728,20110520,  193,    0
197728,20110521,  193,    0
197728,20110522,  194,    0
197728,20110523,  199,    0
197728,20110524,  207,    0
197728,20110525,  211,    0
197728,20110526,  213,    0
197728,20110527,  224,    0
197728,20110528,  183,    0
197728,20110529,  170,    0
197728,20110530,  182,    0
197728,20110531,  205,    0
197728,20110601,  178,    0
197728,20110602,  188,    0
197728,20110603,  196,    0
197728,20110604,  207,    0
197728,20110605,  180,    0
197728,20110606,  173,    0
197728,20110607,  171,    0
197728,20110608,  189,    0
197728,20110609,  190,    0
197728,20110610,  195,    0
197728,20110611,  180,    0
197728,20110612,  193,    0
197728,20110613,  188,    0
197728,20110614,  194,    0
197728,20110615,  206,    0
197728,20110616,  229,    0
197728,20110617,  233,    0
197728,20110618,  233,    0
197728,20110619,  222,    0
197728,20110620,  201,    0
197728,20110621,  228,    0
197728,20110622,  244,    0
197728,20110623,  250,    0
197728,20110624,  215,    0
197728,20110625,  203,    0
197728,20110626,  219,    0
197728,20110627,  227,    0
197728,20110628,  245,    0
197728,20110629,  247,    0
197728,20110630,  229,    0
197728,20110701,  204,    0
197728,20110702,  183,    0
197728,20110703,  200,    0
197728,20110704,  235,    0
197728,20110705,  215,    0
197728,20110706,  236,    0
197728,20110707,  268,    0
197728,20110708,  256,    0
197728,20110709,  252,    0
197728,20110710,  264,    0
197728,20110711,  262,    0
197728,20110712,  265,    0
197728,20110713,  278,    0
197728,20110714,  275,    0
197728,20110715,  245,    0
197728,20110716,  240,    0
197728,20110717,  248,    0
197728,20110718,  230,    0
197728,20110719,  203,    0
197728,20110720,  201,    0
197728,20110721,  217,    0
197728,20110722,  232,    0
197728,20110723,  213,    0
197728,20110724,  166,    0
197728,20110725,  170,    0
197728,20110726,  183,    0
197728,20110727,  175,    0
197728,20110728,  200,    0
197728,20110729,  194,    0
197728,20110730,  223,    0
197728,20110731,  206,    0
197728,20110801,  219,    0
197728,20110802,  229,    0
197728,20110803,  239,    0
197728,20110804,  241,    0
197728,20110805,  234,    0
197728,20110806,  245,    0
197728,20110807,  260,    0
197728,20110808,  253,    0
197728,20110809,  215,    0
197728,20110810,  189,    0
197728,20110811,  197,    0
197728,20110812,  221,    0
197728,20110813,  228,    0
197728,20110814,  234,    0
197728,20110815,  240,    0
197728,20110816,  238,    0
197728,20110817,  242,    0
197728,20110818,  250,    0
197728,20110819,  274,    0
197728,20110820,  266,    0
197728,20110821,  266,    0
197728,20110822,  260,    0
197728,20110823,  260,    0
197728,20110824,  269,    0
197728,20110825,  273,    0
197728,20110826,  268,    0
197728,20110827,  255,    0
197728,20110828,  211,    0
197728,20110829,  216,    0
197728,20110830,  232,    0
197728,20110831,  241,    0
197728,20110901,  254,    0
197728,20110902,  239,    0
197728,20110903,  236,    0
197728,20110904,  229,    0
197728,20110905,  222,    0
197728,20110906,  208,    0
197728,20110907,  215,    0
197728,20110908,  228,    0
197728,20110909,  230,    0
197728,20110910,  229,    0
197728,20110911,  244,    0
197728,20110912,  245,    0
197728,20110913,  236,    0
197728,20110914,  240,    0
197728,20110915,  232,    0
197728,20110916,  222,    0
197728,20110917,  222,    0
197728,20110918,  209,    0
197728,20110919,  159,    0
197728,20110920,  150,    0
197728,20110921,  170,    0
197728,20110922,  183,    0
197728,20110923,  180,    0
197728,20110924,  182,    0
197728,20110925,  185,    0
197728,20110926,  183,    0
197728,20110927,  176,    0
197728,20110928,  170,    0
197728,20110929,  169,    0
197728,20110930,  164,    0
197728,20111001,  171,    0
197728,20111002,  179,    0
197728,20111003,  179,    0
197728,20111004,  181,    0
197728,20111005,  184,    0
197728,20111006,  196,    0
197728,20111007,  154,    0
197728,20111008,  106,    0
197728,20111009,   89,    0
197728,20111010,  114,    0
197728,20111011,  144,    0
197728,20111012,  181,    0
197728,20111013,  163,    0
197728,20111014,  121,    0
197728,20111015,   75,    0
197728,20111016,   70,    0
197728,20111017,   72,    0
197728,20111018,  101,    0
197728,20111019,  169,    0
197728,20111020,  111,    0
197728,20111021,   78,    0
197728,20111022,   63,    0
197728,20111023,   52,    0
197728,20111024,   70,    0
197728,20111025,   99,    0
197728,20111026,  113,    0
197728,20111027,  111,    0
197728,20111028,  103,    0
197728,20111029,   89,    0
197728,20111030,  106,    0
197728,20111031,  109,    0
197728,20111101,  102,    0
197728,20111102,  112,    0
197728,20111103,  109,    0
197728,20111104,  128,    0
197728,20111105,  140,    0
197728,20111106,  141,    0
197728,20111107,  115,    0
197728,20111108,  123,    0
197728,20111109,  123,    0
197728,20111110,  111,    0
197728,20111111,   93,    0
197728,20111112,   78,    0
197728,20111113,   46,    0
197728,20111114,   46,    0
197728,20111115,   40,    0
197728,20111116,   32,    0
197728,20111117,   39,    0
197728,20111118,   36,    0
197728,20111119,   29,    0
197728,20111120,   13,    0
197728,20111121,    6,    0
197728,20111122,   53,    0
197728,20111123,   73,    0
197728,20111124,   59,    0
197728,20111125,   50,    0
197728,20111126,   47,    0
197728,20111127,   46,    0
197728,20111128,   46,    0
197728,20111129,   43,    0
197728,20111130,   43,    0
197728,20111201,   53,    0
197728,20111202,   64,    0
197728,20111203,   60,    0
197728,20111204,   58,    0
197728,20111205,  124,    0
197728,20111206,   52,    0
197728,20111207,   87,    0
197728,20111208,  103,    0
197728,20111209,   83,    0
197728,20111210,   65,    0
197728,20111211,   58,    0
197728,20111212,   58,    0
197728,20111213,   82,    0
197728,20111214,   70,    0
197728,20111215,   83,    0
197728,20111216,  124,    0
197728,20111217,   75,    0
197728,20111218,   16,    0
197728,20111219,   24,    0
197728,20111220,    4,    0
197728,20111221,    0,    0
197728,20111222,    3,    0
197728,20111223,    7,    0
197728,20111224,   -2,    0
197728,20111225,   19,    0
197728,20111226,   21,    0
197728,20111227,   43,    0
197728,20111228,   26,    0
197728,20111229,   27,    0
197728,20111230,   31,    0
197728,20111231,   22,    0
197728,20120101,   24,    0
197728,20120102,   44,    0
197728,20120103,   50,    0
197728,20120104,   26,    0
197728,20120105,   52,    0
197728,20120106,   65,    0
197728,20120107,   52,    0
197728,20120108,   48,    0
197728,20120109,   38,    0
197728,20120110,   47,    0
197728,20120111,   34,    0
197728,20120112,   37,    0
197728,20120113,   47,    0
197728,20120114,   19,    0
197728,20120115,  -21,    0
197728,20120116,  -29,    0
197728,20120117,  -16,    0
