EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, VARANO_MARCHESI (STAID: 17839).
Blended and updated with sources: 197752 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
197752,20051201,-9999,    9
197752,20051202,-9999,    9
197752,20051203,-9999,    9
197752,20051204,-9999,    9
197752,20051205,-9999,    9
197752,20051206,-9999,    9
197752,20051207,-9999,    9
197752,20051208,-9999,    9
197752,20051209,-9999,    9
197752,20051210,-9999,    9
197752,20051211,-9999,    9
197752,20051212,-9999,    9
197752,20051213,-9999,    9
197752,20051214,-9999,    9
197752,20051215,-9999,    9
197752,20051216,-9999,    9
197752,20051217,-9999,    9
197752,20051218,-9999,    9
197752,20051219,-9999,    9
197752,20051220,-9999,    9
197752,20051221,-9999,    9
197752,20051222,-9999,    9
197752,20051223,-9999,    9
197752,20051224,-9999,    9
197752,20051225,-9999,    9
197752,20051226,-9999,    9
197752,20051227,-9999,    9
197752,20051228,-9999,    9
197752,20051229,-9999,    9
197752,20051230,-9999,    9
197752,20051231,  -21,    0
197752,20060101,  -19,    0
197752,20060102,   19,    0
197752,20060103,   39,    0
197752,20060104,   26,    0
197752,20060105,   18,    0
197752,20060106,   29,    0
197752,20060107,   31,    0
197752,20060108,    8,    0
197752,20060109,    3,    0
197752,20060110,   21,    0
197752,20060111,   40,    0
197752,20060112,   23,    0
197752,20060113,   11,    0
197752,20060114,   15,    0
197752,20060115,  -24,    0
197752,20060116,  -19,    0
197752,20060117,  -17,    0
197752,20060118,   -1,    0
197752,20060119,   30,    0
197752,20060120,   43,    0
197752,20060121,   34,    0
197752,20060122,   35,    0
197752,20060123,   -3,    0
197752,20060124,  -31,    0
197752,20060125,  -26,    0
197752,20060126,  -46,    0
197752,20060127,  -25,    0
197752,20060128,   13,    0
197752,20060129,   29,    0
197752,20060130,   42,    0
197752,20060131,   72,    0
197752,20060201,   85,    0
197752,20060202,   82,    0
197752,20060203,   68,    0
197752,20060204,   48,    0
197752,20060205,    0,    0
197752,20060206,  -12,    0
197752,20060207,   -8,    0
197752,20060208,   13,    0
197752,20060209,   45,    0
197752,20060210,   43,    0
197752,20060211,   40,    0
197752,20060212,   22,    0
197752,20060213,   18,    0
197752,20060214,   32,    0
197752,20060215,   15,    0
197752,20060216,    6,    0
197752,20060217,   73,    0
197752,20060218,   78,    0
197752,20060219,   28,    0
197752,20060220,   40,    0
197752,20060221,   30,    0
197752,20060222,   43,    0
197752,20060223,   42,    0
197752,20060224,    2,    0
197752,20060225,   10,    0
197752,20060226,   25,    0
197752,20060227,   13,    0
197752,20060228,    0,    0
197752,20060301,   20,    0
197752,20060302,   13,    0
197752,20060303,   38,    0
197752,20060304,  113,    0
197752,20060305,   80,    0
197752,20060306,   27,    0
197752,20060307,   37,    0
197752,20060308,   38,    0
197752,20060309,   57,    0
197752,20060310,   69,    0
197752,20060311,   50,    0
197752,20060312,   21,    0
197752,20060313,   38,    0
197752,20060314,   48,    0
197752,20060315,   43,    0
197752,20060316,   30,    0
197752,20060317,   54,    0
197752,20060318,   52,    0
197752,20060319,   56,    0
197752,20060320,   80,    0
197752,20060321,   59,    0
197752,20060322,   68,    0
197752,20060323,   97,    0
197752,20060324,   70,    0
197752,20060325,   81,    0
197752,20060326,  115,    0
197752,20060327,  121,    0
197752,20060328,  121,    0
197752,20060329,  126,    0
197752,20060330,  116,    0
197752,20060331,  136,    0
197752,20060401,  121,    0
197752,20060402,  133,    0
197752,20060403,  135,    0
197752,20060404,  105,    0
197752,20060405,   94,    0
197752,20060406,   51,    0
197752,20060407,   66,    0
197752,20060408,   94,    0
197752,20060409,  106,    0
197752,20060410,  103,    0
197752,20060411,   62,    0
197752,20060412,   91,    0
197752,20060413,  119,    0
197752,20060414,  145,    0
197752,20060415,  131,    0
197752,20060416,  138,    0
197752,20060417,  124,    0
197752,20060418,  109,    0
197752,20060419,  145,    0
197752,20060420,  140,    0
197752,20060421,  148,    0
197752,20060422,  171,    0
197752,20060423,  171,    0
197752,20060424,  174,    0
197752,20060425,  155,    0
197752,20060426,  150,    0
197752,20060427,  145,    0
197752,20060428,  131,    0
197752,20060429,  135,    0
197752,20060430,   91,    0
197752,20060501,  111,    0
197752,20060502,  135,    0
197752,20060503,  153,    0
197752,20060504,  159,    0
197752,20060505,  143,    0
197752,20060506,  146,    0
197752,20060507,  156,    0
197752,20060508,  145,    0
197752,20060509,  104,    0
197752,20060510,  136,    0
197752,20060511,  146,    0
197752,20060512,  175,    0
197752,20060513,  170,    0
197752,20060514,  169,    0
197752,20060515,  182,    0
197752,20060516,  194,    0
197752,20060517,  207,    0
197752,20060518,  209,    0
197752,20060519,  206,    0
197752,20060520,  179,    0
197752,20060521,  188,    0
197752,20060522,  208,    0
197752,20060523,  187,    0
197752,20060524,  153,    0
197752,20060525,  155,    0
197752,20060526,  194,    0
197752,20060527,  233,    0
197752,20060528,  227,    0
197752,20060529,  188,    0
197752,20060530,  126,    0
197752,20060531,  112,    0
197752,20060601,  133,    0
197752,20060602,  110,    0
197752,20060603,  161,    0
197752,20060604,  180,    0
197752,20060605,  167,    0
197752,20060606,  152,    0
197752,20060607,  155,    0
197752,20060608,  172,    0
197752,20060609,  175,    0
197752,20060610,  198,    0
197752,20060611,  182,    0
197752,20060612,  197,    0
197752,20060613,  226,    0
197752,20060614,  233,    0
197752,20060615,  234,    0
197752,20060616,  225,    0
197752,20060617,  233,    0
197752,20060618,  247,    0
197752,20060619,  245,    0
197752,20060620,  248,    0
197752,20060621,  263,    0
197752,20060622,  259,    0
197752,20060623,  261,    0
197752,20060624,  258,    0
197752,20060625,  250,    0
197752,20060626,  262,    0
197752,20060627,  274,    0
197752,20060628,  271,    0
197752,20060629,  244,    0
197752,20060630,  263,    0
197752,20060701,  262,    0
197752,20060702,  238,    0
197752,20060703,  244,    0
197752,20060704,  237,    0
197752,20060705,  241,    0
197752,20060706,  221,    0
197752,20060707,  186,    0
197752,20060708,  226,    0
197752,20060709,  249,    0
197752,20060710,  265,    0
197752,20060711,  277,    0
197752,20060712,  273,    0
197752,20060713,  251,    0
197752,20060714,  260,    0
197752,20060715,  266,    0
197752,20060716,  245,    0
197752,20060717,  236,    0
197752,20060718,  245,    0
197752,20060719,  263,    0
197752,20060720,  283,    0
197752,20060721,  289,    0
197752,20060722,  295,    0
197752,20060723,  275,    0
