EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, VERGIANO (STAID: 17841).
Blended and updated with sources: 197792 197896 916149 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
916149,20051201,   41,    0
916149,20051202,   53,    0
916149,20051203,  111,    0
916149,20051204,   86,    0
916149,20051205,  118,    0
916149,20051206,   63,    0
916149,20051207,-9999,    9
916149,20051208,   33,    0
916149,20051209,   67,    0
916149,20051210,   70,    0
916149,20051211,   64,    0
916149,20051212,   30,    0
916149,20051213,   48,    0
916149,20051214,   62,    0
916149,20051215,   51,    0
916149,20051216,   29,    0
916149,20051217,   46,    0
916149,20051218,   38,    0
916149,20051219,   41,    0
916149,20051220,   37,    0
916149,20051221,   26,    0
916149,20051222,   15,    0
916149,20051223,   17,    0
916149,20051224,   18,    0
916149,20051225,   22,    0
916149,20051226,   45,    0
916149,20051227,   28,    0
916149,20051228,   53,    0
916149,20051229,   16,    0
916149,20051230,    5,    0
197792,20051231,    4,    0
197792,20060101,    4,    0
197792,20060102,   36,    0
197792,20060103,   49,    0
197792,20060104,   43,    0
197792,20060105,   38,    0
197792,20060106,   42,    0
197792,20060107,   52,    0
197792,20060108,   43,    0
197792,20060109,   26,    0
197792,20060110,   23,    0
197792,20060111,   31,    0
197792,20060112,   31,    0
197792,20060113,   30,    0
197792,20060114,   14,    0
197792,20060115,   10,    0
197792,20060116,   11,    0
197792,20060117,    5,    0
197792,20060118,    9,    0
197792,20060119,  -10,    0
197792,20060120,  -10,    0
197792,20060121,    6,    0
197792,20060122,   38,    0
197792,20060123,   13,    0
197792,20060124,   -1,    0
197792,20060125,  -19,    0
197792,20060126,   -4,    0
197792,20060127,   19,    0
197792,20060128,   39,    0
197792,20060129,   63,    0
197792,20060130,   66,    0
197792,20060131,   79,    0
197792,20060201,   76,    0
197792,20060202,   66,    0
197792,20060203,   62,    0
197792,20060204,   50,    0
197792,20060205,   35,    0
197792,20060206,    4,    0
197792,20060207,    4,    0
197792,20060208,   40,    0
197792,20060209,   30,    0
197792,20060210,   34,    0
197792,20060211,   37,    0
197792,20060212,   18,    0
197792,20060213,   14,    0
197792,20060214,   21,    0
197792,20060215,   73,    0
197792,20060216,   44,    0
197792,20060217,   96,    0
197792,20060218,  126,    0
197792,20060219,  122,    0
197792,20060220,  108,    0
197792,20060221,   67,    0
197792,20060222,   62,    0
197792,20060223,   75,    0
197792,20060224,   60,    0
197792,20060225,   49,    0
197792,20060226,   59,    0
197792,20060227,   50,    0
197792,20060228,   30,    0
197792,20060301,   28,    0
197792,20060302,   34,    0
197792,20060303,   99,    0
197792,20060304,  144,    0
