EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, VOLTRE (STAID: 17849).
Blended and updated with sources: 197872 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
197872,20051201,-9999,    9
197872,20051202,-9999,    9
197872,20051203,-9999,    9
197872,20051204,-9999,    9
197872,20051205,-9999,    9
197872,20051206,-9999,    9
197872,20051207,-9999,    9
197872,20051208,-9999,    9
197872,20051209,-9999,    9
197872,20051210,-9999,    9
197872,20051211,-9999,    9
197872,20051212,-9999,    9
197872,20051213,-9999,    9
197872,20051214,-9999,    9
197872,20051215,-9999,    9
197872,20051216,-9999,    9
197872,20051217,-9999,    9
197872,20051218,-9999,    9
197872,20051219,-9999,    9
197872,20051220,-9999,    9
197872,20051221,-9999,    9
197872,20051222,-9999,    9
197872,20051223,-9999,    9
197872,20051224,-9999,    9
197872,20051225,-9999,    9
197872,20051226,-9999,    9
197872,20051227,-9999,    9
197872,20051228,-9999,    9
197872,20051229,-9999,    9
197872,20051230,-9999,    9
197872,20051231,  -12,    0
197872,20060101,  -13,    0
197872,20060102,   16,    0
197872,20060103,   31,    0
197872,20060104,   19,    0
197872,20060105,   17,    0
197872,20060106,   20,    0
197872,20060107,   34,    0
197872,20060108,   19,    0
197872,20060109,    2,    0
197872,20060110,   -1,    0
197872,20060111,    6,    0
197872,20060112,    3,    0
197872,20060113,    0,    0
197872,20060114,  -12,    0
197872,20060115,  -10,    0
197872,20060116,  -13,    0
197872,20060117,  -13,    0
197872,20060118,  -10,    0
197872,20060119,   11,    0
197872,20060120,   16,    0
197872,20060121,   23,    0
197872,20060122,   10,    0
197872,20060123,  -13,    0
197872,20060124,  -33,    0
197872,20060125,  -41,    0
197872,20060126,  -22,    0
197872,20060127,    1,    0
197872,20060128,   18,    0
197872,20060129,   39,    0
197872,20060130,   47,    0
197872,20060131,   59,    0
197872,20060201,   54,    0
197872,20060202,   59,    0
197872,20060203,   52,    0
197872,20060204,   51,    0
197872,20060205,    0,    0
197872,20060206,  -26,    0
197872,20060207,  -15,    0
197872,20060208,   18,    0
197872,20060209,   21,    0
197872,20060210,   16,    0
197872,20060211,   12,    0
197872,20060212,    5,    0
197872,20060213,    0,    0
197872,20060214,   14,    0
197872,20060215,   68,    0
197872,20060216,   36,    0
197872,20060217,  109,    0
197872,20060218,  104,    0
197872,20060219,  106,    0
197872,20060220,   81,    0
197872,20060221,   46,    0
197872,20060222,   51,    0
197872,20060223,   47,    0
197872,20060224,   23,    0
197872,20060225,   24,    0
197872,20060226,   38,    0
197872,20060227,   24,    0
197872,20060228,    7,    0
197872,20060301,   18,    0
197872,20060302,    8,    0
197872,20060303,   77,    0
197872,20060304,  121,    0
197872,20060305,   97,    0
197872,20060306,   14,    0
197872,20060307,   15,    0
197872,20060308,   30,    0
197872,20060309,   56,    0
197872,20060310,   52,    0
197872,20060311,   28,    0
197872,20060312,    7,    0
197872,20060313,   13,    0
197872,20060314,   18,    0
197872,20060315,   35,    0
197872,20060316,   21,    0
197872,20060317,   35,    0
197872,20060318,   26,    0
197872,20060319,   39,    0
197872,20060320,   63,    0
197872,20060321,   75,    0
197872,20060322,   60,    0
197872,20060323,   72,    0
197872,20060324,   68,    0
197872,20060325,   75,    0
197872,20060326,  107,    0
197872,20060327,  137,    0
197872,20060328,  135,    0
197872,20060329,  127,    0
197872,20060330,  130,    0
197872,20060331,  149,    0
197872,20060401,  131,    0
197872,20060402,  124,    0
197872,20060403,  110,    0
197872,20060404,   93,    0
197872,20060405,  129,    0
197872,20060406,   82,    0
197872,20060407,   57,    0
197872,20060408,   77,    0
197872,20060409,  113,    0
197872,20060410,  142,    0
197872,20060411,   82,    0
197872,20060412,   81,    0
197872,20060413,   94,    0
197872,20060414,  153,    0
197872,20060415,  141,    0
197872,20060416,  134,    0
197872,20060417,  128,    0
197872,20060418,  105,    0
197872,20060419,  112,    0
197872,20060420,  123,    0
197872,20060421,  130,    0
197872,20060422,  155,    0
197872,20060423,  164,    0
197872,20060424,  156,    0
197872,20060425,  156,    0
197872,20060426,  146,    0
197872,20060427,  117,    0
197872,20060428,  117,    0
197872,20060429,  123,    0
197872,20060430,   91,    0
197872,20060501,  109,    0
197872,20060502,  127,    0
197872,20060503,  125,    0
197872,20060504,  128,    0
197872,20060505,  121,    0
197872,20060506,  132,    0
197872,20060507,  137,    0
197872,20060508,  137,    0
197872,20060509,  119,    0
197872,20060510,  122,    0
197872,20060511,  131,    0
197872,20060512,  166,    0
197872,20060513,-9999,    9
197872,20060514,-9999,    9
197872,20060515,-9999,    9
197872,20060516,-9999,    9
197872,20060517,-9999,    9
197872,20060518,-9999,    9
197872,20060519,-9999,    9
197872,20060520,-9999,    9
197872,20060521,-9999,    9
197872,20060522,-9999,    9
197872,20060523,  202,    0
197872,20060524,  149,    0
197872,20060525,  148,    0
197872,20060526,  172,    0
197872,20060527,  210,    0
197872,20060528,  235,    0
197872,20060529,  201,    0
197872,20060530,  100,    0
197872,20060531,  108,    0
197872,20060601,  104,    0
197872,20060602,  104,    0
197872,20060603,  109,    0
197872,20060604,  160,    0
197872,20060605,  169,    0
197872,20060606,  131,    0
197872,20060607,  124,    0
197872,20060608,  137,    0
197872,20060609,  140,    0
197872,20060610,  175,    0
197872,20060611,  151,    0
197872,20060612,  157,    0
