EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, RIMINI_URBANA (STAID: 17851).
Blended and updated with sources: 196896 197896 197904 916149 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
916149,20051201,   41,    0
916149,20051202,   53,    0
916149,20051203,  111,    0
916149,20051204,   86,    0
916149,20051205,  118,    0
916149,20051206,   63,    0
916149,20051207,-9999,    9
916149,20051208,   33,    0
916149,20051209,   67,    0
916149,20051210,   70,    0
916149,20051211,   64,    0
916149,20051212,   30,    0
916149,20051213,   48,    0
916149,20051214,   62,    0
916149,20051215,   51,    0
916149,20051216,   29,    0
916149,20051217,   46,    0
916149,20051218,   38,    0
916149,20051219,   41,    0
916149,20051220,   37,    0
916149,20051221,   26,    0
916149,20051222,   15,    0
916149,20051223,   17,    0
916149,20051224,   18,    0
916149,20051225,   22,    0
916149,20051226,   45,    0
916149,20051227,   28,    0
916149,20051228,   53,    0
916149,20051229,   16,    0
916149,20051230,    5,    0
197896,20051231,    8,    0
197896,20060101,    5,    0
197896,20060102,   41,    0
197896,20060103,   52,    0
197896,20060104,   49,    0
197896,20060105,   45,    0
197896,20060106,   50,    0
197896,20060107,   58,    0
197896,20060108,   49,    0
197896,20060109,   31,    0
197896,20060110,   30,    0
197896,20060111,   39,    0
197896,20060112,   38,    0
197896,20060113,   33,    0
197896,20060114,   25,    0
197896,20060115,   13,    0
197896,20060116,   19,    0
197896,20060117,   12,    0
197896,20060118,   18,    0
197896,20060119,   -2,    0
197896,20060120,   -2,    0
197896,20060121,   14,    0
197896,20060122,   42,    0
197896,20060123,   17,    0
197896,20060124,    6,    0
197896,20060125,   -9,    0
197896,20060126,    8,    0
197896,20060127,   32,    0
197896,20060128,   43,    0
197896,20060129,   65,    0
197896,20060130,   67,    0
197896,20060131,   73,    0
197896,20060201,   81,    0
197896,20060202,   68,    0
197896,20060203,   67,    0
197896,20060204,   53,    0
197896,20060205,   46,    0
197896,20060206,   17,    0
197896,20060207,   14,    0
197896,20060208,   43,    0
197896,20060209,   38,    0
197896,20060210,   40,    0
197896,20060211,   46,    0
197896,20060212,   30,    0
197896,20060213,   26,    0
197896,20060214,   29,    0
197896,20060215,   76,    0
197896,20060216,   48,    0
197896,20060217,   97,    0
197896,20060218,  129,    0
197896,20060219,  126,    0
197896,20060220,  114,    0
197896,20060221,   72,    0
197896,20060222,   67,    0
197896,20060223,   79,    0
197896,20060224,   65,    0
197896,20060225,   52,    0
197896,20060226,   62,    0
197896,20060227,   58,    0
197896,20060228,   34,    0
197896,20060301,   39,    0
197896,20060302,   43,    0
197896,20060303,   98,    0
