EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, MODENA_URBANA (STAID: 17857).
Blended and updated with sources: 195864 197944 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
197944,20051201,-9999,    9
197944,20051202,-9999,    9
197944,20051203,-9999,    9
197944,20051204,-9999,    9
197944,20051205,-9999,    9
197944,20051206,-9999,    9
197944,20051207,-9999,    9
197944,20051208,-9999,    9
197944,20051209,-9999,    9
197944,20051210,-9999,    9
197944,20051211,-9999,    9
197944,20051212,-9999,    9
197944,20051213,-9999,    9
197944,20051214,-9999,    9
197944,20051215,-9999,    9
197944,20051216,-9999,    9
197944,20051217,-9999,    9
197944,20051218,-9999,    9
197944,20051219,-9999,    9
197944,20051220,-9999,    9
197944,20051221,-9999,    9
197944,20051222,-9999,    9
197944,20051223,-9999,    9
197944,20051224,-9999,    9
197944,20051225,-9999,    9
197944,20051226,-9999,    9
197944,20051227,-9999,    9
197944,20051228,-9999,    9
197944,20051229,-9999,    9
197944,20051230,-9999,    9
197944,20051231,   -8,    0
197944,20060101,   -4,    0
197944,20060102,   13,    0
197944,20060103,   34,    0
197944,20060104,   25,    0
197944,20060105,   30,    0
197944,20060106,   37,    0
197944,20060107,   32,    0
197944,20060108,   23,    0
197944,20060109,   24,    0
197944,20060110,   13,    0
197944,20060111,   26,    0
197944,20060112,   27,    0
197944,20060113,   17,    0
197944,20060114,    8,    0
197944,20060115,   -6,    0
197944,20060116,    3,    0
197944,20060117,    2,    0
197944,20060118,   13,    0
197944,20060119,  -16,    0
197944,20060120,  -25,    0
197944,20060121,   -2,    0
197944,20060122,   27,    0
197944,20060123,    9,    0
197944,20060124,   -9,    0
197944,20060125,   -8,    0
197944,20060126,  -27,    0
197944,20060127,   -5,    0
197944,20060128,   15,    0
197944,20060129,   25,    0
197944,20060130,   40,    0
197944,20060131,   63,    0
197944,20060201,   63,    0
197944,20060202,   70,    0
197944,20060203,   62,    0
197944,20060204,   50,    0
197944,20060205,   24,    0
197944,20060206,   10,    0
197944,20060207,    6,    0
197944,20060208,   19,    0
197944,20060209,   37,    0
197944,20060210,   44,    0
197944,20060211,   51,    0
197944,20060212,   33,    0
197944,20060213,   32,    0
197944,20060214,   38,    0
197944,20060215,   38,    0
197944,20060216,   30,    0
197944,20060217,   72,    0
197944,20060218,   56,    0
197944,20060219,   59,    0
197944,20060220,   67,    0
197944,20060221,   55,    0
197944,20060222,   71,    0
197944,20060223,   72,    0
197944,20060224,   47,    0
197944,20060225,   43,    0
197944,20060226,   63,    0
197944,20060227,   39,    0
197944,20060228,   28,    0
197944,20060301,   46,    0
197944,20060302,   39,    0
197944,20060303,   43,    0
197944,20060304,   96,    0
197944,20060305,  106,    0
197944,20060306,   58,    0
197944,20060307,   56,    0
197944,20060308,   57,    0
197944,20060309,   74,    0
197944,20060310,   77,    0
197944,20060311,   70,    0
197944,20060312,   25,    0
197944,20060313,   53,    0
197944,20060314,   55,    0
197944,20060315,   58,    0
197944,20060316,   52,    0
197944,20060317,   71,    0
197944,20060318,   59,    0
197944,20060319,   65,    0
197944,20060320,   82,    0
197944,20060321,   74,    0
197944,20060322,   89,    0
197944,20060323,  112,    0
197944,20060324,   83,    0
197944,20060325,  113,    0
197944,20060326,  136,    0
197944,20060327,  147,    0
197944,20060328,  152,    0
197944,20060329,  156,    0
197944,20060330,  138,    0
197944,20060331,  151,    0
197944,20060401,  139,    0
197944,20060402,  153,    0
197944,20060403,  140,    0
197944,20060404,  119,    0
197944,20060405,  115,    0
197944,20060406,   79,    0
197944,20060407,   87,    0
197944,20060408,  113,    0
197944,20060409,  128,    0
197944,20060410,  117,    0
197944,20060411,   93,    0
197944,20060412,  109,    0
197944,20060413,  133,    0
197944,20060414,  163,    0
197944,20060415,  149,    0
197944,20060416,  163,    0
197944,20060417,  134,    0
197944,20060418,  138,    0
197944,20060419,  150,    0
197944,20060420,  160,    0
197944,20060421,  169,    0
197944,20060422,  189,    0
197944,20060423,  194,    0
197944,20060424,  187,    0
197944,20060425,  173,    0
197944,20060426,  183,    0
197944,20060427,  155,    0
197944,20060428,  149,    0
197944,20060429,  150,    0
197944,20060430,  111,    0
197944,20060501,  136,    0
197944,20060502,  151,    0
197944,20060503,  160,    0
197944,20060504,  170,    0
197944,20060505,  162,    0
197944,20060506,  171,    0
197944,20060507,  180,    0
197944,20060508,  165,    0
197944,20060509,  130,    0
197944,20060510,  156,    0
197944,20060511,  168,    0
197944,20060512,  194,    0
197944,20060513,  200,    0
197944,20060514,  174,    0
197944,20060515,  189,    0
197944,20060516,  216,    0
197944,20060517,  224,    0
197944,20060518,  223,    0
197944,20060519,  230,    0
197944,20060520,  215,    0
197944,20060521,  226,    0
197944,20060522,  235,    0
197944,20060523,  206,    0
197944,20060524,  175,    0
197944,20060525,  176,    0
197944,20060526,  213,    0
197944,20060527,  225,    0
197944,20060528,  241,    0
197944,20060529,  186,    0
197944,20060530,  123,    0
197944,20060531,  138,    0
197944,20060601,  156,    0
197944,20060602,  132,    0
197944,20060603,  161,    0
197944,20060604,  193,    0
197944,20060605,  175,    0
197944,20060606,  162,    0
197944,20060607,  171,    0
197944,20060608,  184,    0
197944,20060609,  189,    0
197944,20060610,  214,    0
197944,20060611,  196,    0
197944,20060612,  208,    0
197944,20060613,  231,    0
197944,20060614,  250,    0
197944,20060615,  255,    0
197944,20060616,  247,    0
197944,20060617,  257,    0
197944,20060618,  258,    0
197944,20060619,  257,    0
197944,20060620,  276,    0
197944,20060621,  269,    0
197944,20060622,  280,    0
197944,20060623,  274,    0
197944,20060624,  274,    0
197944,20060625,  269,    0
197944,20060626,  283,    0
197944,20060627,  290,    0
197944,20060628,  285,    0
197944,20060629,  265,    0
197944,20060630,  278,    0
197944,20060701,  267,    0
197944,20060702,  254,    0
197944,20060703,  253,    0
197944,20060704,  249,    0
197944,20060705,  249,    0
197944,20060706,  231,    0
197944,20060707,  202,    0
197944,20060708,  239,    0
197944,20060709,  264,    0
197944,20060710,  276,    0
197944,20060711,  285,    0
197944,20060712,  287,    0
197944,20060713,  275,    0
197944,20060714,  279,    0
197944,20060715,  273,    0
197944,20060716,  249,    0
197944,20060717,  247,    0
197944,20060718,  253,    0
197944,20060719,  272,    0
197944,20060720,  293,    0
197944,20060721,  302,    0
197944,20060722,  306,    0
197944,20060723,  302,    0
197944,20060724,  296,    0
197944,20060725,  297,    0
197944,20060726,  292,    0
197944,20060727,  286,    0
197944,20060728,  273,    0
197944,20060729,  250,    0
197944,20060730,  279,    0
197944,20060731,  295,    0
197944,20060801,  264,    0
197944,20060802,  236,    0
197944,20060803,  197,    0
197944,20060804,  207,    0
197944,20060805,  217,    0
197944,20060806,  237,    0
197944,20060807,  254,    0
197944,20060808,  254,    0
197944,20060809,  227,    0
197944,20060810,  225,    0
197944,20060811,  199,    0
197944,20060812,  175,    0
197944,20060813,  185,    0
197944,20060814,  196,    0
197944,20060815,  216,    0
197944,20060816,  205,    0
197944,20060817,  236,    0
197944,20060818,  269,    0
197944,20060819,  229,    0
197944,20060820,  246,    0
197944,20060821,  227,    0
197944,20060822,  241,    0
197944,20060823,  237,    0
197944,20060824,  238,    0
197944,20060825,  220,    0
197944,20060826,  221,    0
197944,20060827,  215,    0
197944,20060828,  220,    0
197944,20060829,  219,    0
197944,20060830,  196,    0
197944,20060831,  203,    0
197944,20060901,  214,    0
197944,20060902,  224,    0
197944,20060903,  237,    0
197944,20060904,  255,    0
197944,20060905,  259,    0
197944,20060906,  265,    0
197944,20060907,  263,    0
197944,20060908,  235,    0
197944,20060909,  213,    0
197944,20060910,  208,    0
197944,20060911,  207,    0
197944,20060912,  211,    0
197944,20060913,  213,    0
197944,20060914,  205,    0
197944,20060915,  227,    0
197944,20060916,  186,    0
197944,20060917,  165,    0
197944,20060918,  200,    0
197944,20060919,  215,    0
197944,20060920,  217,    0
197944,20060921,  215,    0
197944,20060922,  219,    0
197944,20060923,  202,    0
197944,20060924,  192,    0
197944,20060925,  175,    0
197944,20060926,  183,    0
197944,20060927,  202,    0
197944,20060928,  202,    0
197944,20060929,  203,    0
197944,20060930,  204,    0
197944,20061001,  224,    0
197944,20061002,  221,    0
197944,20061003,  227,    0
197944,20061004,  209,    0
197944,20061005,  172,    0
197944,20061006,  168,    0
197944,20061007,  142,    0
197944,20061008,  160,    0
197944,20061009,  162,    0
197944,20061010,  162,    0
197944,20061011,  161,    0
197944,20061012,  156,    0
197944,20061013,  162,    0
197944,20061014,  158,    0
197944,20061015,  149,    0
197944,20061016,  145,    0
197944,20061017,  134,    0
197944,20061018,  129,    0
197944,20061019,  137,    0
197944,20061020,  134,    0
197944,20061021,  137,    0
197944,20061022,  156,    0
197944,20061023,  158,    0
197944,20061024,  199,    0
197944,20061025,  180,    0
197944,20061026,  173,    0
197944,20061027,  180,    0
197944,20061028,  147,    0
197944,20061029,  165,    0
197944,20061030,  155,    0
197944,20061031,  133,    0
197944,20061101,  151,    0
197944,20061102,  102,    0
197944,20061103,   77,    0
197944,20061104,   68,    0
197944,20061105,   82,    0
197944,20061106,  117,    0
197944,20061107,  107,    0
197944,20061108,  121,    0
197944,20061109,  130,    0
197944,20061110,  107,    0
197944,20061111,   77,    0
197944,20061112,   97,    0
197944,20061113,   88,    0
197944,20061114,  105,    0
197944,20061115,  100,    0
197944,20061116,  105,    0
197944,20061117,   99,    0
197944,20061118,  110,    0
197944,20061119,  119,    0
197944,20061120,  106,    0
197944,20061121,  106,    0
197944,20061122,   95,    0
197944,20061123,   87,    0
197944,20061124,   91,    0
197944,20061125,   90,    0
197944,20061126,  102,    0
197944,20061127,   99,    0
197944,20061128,  105,    0
197944,20061129,  106,    0
197944,20061130,   97,    0
197944,20061201,   85,    0
197944,20061202,   51,    0
197944,20061203,   77,    0
197944,20061204,   77,    0
197944,20061205,   86,    0
197944,20061206,   95,    0
197944,20061207,  102,    0
197944,20061208,  116,    0
197944,20061209,  128,    0
197944,20061210,   90,    0
197944,20061211,   60,    0
197944,20061212,   57,    0
197944,20061213,   57,    0
197944,20061214,   60,    0
197944,20061215,   63,    0
197944,20061216,   61,    0
197944,20061217,   58,    0
197944,20061218,   62,    0
197944,20061219,   56,    0
197944,20061220,   40,    0
197944,20061221,   31,    0
197944,20061222,   45,    0
197944,20061223,   34,    0
197944,20061224,   44,    0
197944,20061225,   59,    0
197944,20061226,   40,    0
197944,20061227,   -6,    0
197944,20061228,   -5,    0
197944,20061229,   10,    0
197944,20061230,   23,    0
197944,20061231,   53,    0
197944,20070101,   39,    0
197944,20070102,   67,    0
197944,20070103,   81,    0
197944,20070104,   52,    0
197944,20070105,   59,    0
197944,20070106,   60,    0
197944,20070107,   69,    0
197944,20070108,   67,    0
197944,20070109,   80,    0
197944,20070110,   57,    0
197944,20070111,   87,    0
197944,20070112,   82,    0
197944,20070113,   46,    0
197944,20070114,   52,    0
197944,20070115,   58,    0
197944,20070116,   54,    0
197944,20070117,   58,    0
197944,20070118,   60,    0
197944,20070119,  110,    0
197944,20070120,   58,    0
197944,20070121,   64,    0
197944,20070122,   66,    0
197944,20070123,   89,    0
197944,20070124,   66,    0
197944,20070125,   30,    0
197944,20070126,   16,    0
197944,20070127,   41,    0
197944,20070128,   62,    0
197944,20070129,   70,    0
197944,20070130,   53,    0
