EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, BUDRIO_PRUNARO (STAID: 17861).
Blended and updated with sources: 194472 197984 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
194472,20120401,-9999,    9
194472,20120402,-9999,    9
194472,20120403,-9999,    9
194472,20120404,-9999,    9
194472,20120405,-9999,    9
194472,20120406,-9999,    9
194472,20120407,-9999,    9
194472,20120408,-9999,    9
194472,20120409,-9999,    9
194472,20120410,-9999,    9
194472,20120411,-9999,    9
194472,20120412,-9999,    9
194472,20120413,-9999,    9
194472,20120414,-9999,    9
194472,20120415,-9999,    9
194472,20120416,-9999,    9
194472,20120417,-9999,    9
194472,20120418,-9999,    9
194472,20120419,-9999,    9
194472,20120420,-9999,    9
194472,20120421,-9999,    9
194472,20120422,-9999,    9
194472,20120423,-9999,    9
194472,20120424,-9999,    9
194472,20120425,-9999,    9
194472,20120426,-9999,    9
194472,20120427,-9999,    9
194472,20120428,-9999,    9
194472,20120429,-9999,    9
194472,20120430,  245,    0
194472,20120501,  237,    0
194472,20120502,  211,    0
197984,20120503,  256,    0
194472,20120504,  176,    0
194472,20120505,  171,    0
194472,20120506,  161,    0
194472,20120507,  162,    0
194472,20120508,  163,    0
194472,20120509,  181,    0
194472,20120510,  204,    0
197984,20120511,  237,    0
197984,20120512,  242,    0
197984,20120513,  124,    0
197984,20120514,  129,    0
197984,20120515,  157,    0
197984,20120516,  117,    0
197984,20120517,  145,    0
197984,20120518,  131,    0
197984,20120519,  150,    0
197984,20120520,  146,    0
197984,20120521,  139,    0
197984,20120522,  157,    0
197984,20120523,  190,    0
197984,20120524,  214,    0
197984,20120525,  195,    0
197984,20120526,  172,    0
197984,20120527,  177,    0
197984,20120528,  188,    0
197984,20120529,  210,    0
197984,20120530,  222,    0
197984,20120531,  203,    0
197984,20120601,  226,    0
197984,20120602,  226,    0
197984,20120603,  233,    0
197984,20120604,  188,    0
197984,20120605,  198,    0
197984,20120606,  208,    0
197984,20120607,  221,    0
197984,20120608,  228,    0
197984,20120609,  228,    0
197984,20120610,  216,    0
197984,20120611,  220,    0
197984,20120612,  218,    0
197984,20120613,  212,    0
197984,20120614,  196,    0
197984,20120615,  215,    0
197984,20120616,  227,    0
197984,20120617,  244,    0
197984,20120618,  258,    0
197984,20120619,  273,    0
197984,20120620,  281,    0
197984,20120621,  276,    0
197984,20120622,  272,    0
197984,20120623,  250,    0
197984,20120624,  257,    0
197984,20120625,  273,    0
197984,20120626,  251,    0
197984,20120627,  242,    0
197984,20120628,  254,    0
197984,20120629,  280,    0
197984,20120630,  292,    0
197984,20120701,  293,    0
197984,20120702,  292,    0
197984,20120703,  262,    0
197984,20120704,  265,    0
197984,20120705,  272,    0
197984,20120706,  246,    0
197984,20120707,  259,    0
197984,20120708,  281,    0
197984,20120709,  272,    0
197984,20120710,  290,    0
197984,20120711,  279,    0
197984,20120712,  268,    0
197984,20120713,  270,    0
197984,20120714,  282,    0
197984,20120715,  263,    0
197984,20120716,  233,    0
197984,20120717,  232,    0
197984,20120718,  249,    0
197984,20120719,  270,    0
197984,20120720,  285,    0
197984,20120721,  244,    0
197984,20120722,  236,    0
197984,20120723,  223,    0
197984,20120724,  234,    0
197984,20120725,  255,    0
197984,20120726,  266,    0
197984,20120727,  285,    0
197984,20120728,  302,    0
197984,20120729,  281,    0
197984,20120730,  267,    0
197984,20120731,  267,    0
197984,20120801,  264,    0
197984,20120802,  266,    0
197984,20120803,  285,    0
197984,20120804,  281,    0
197984,20120805,  281,    0
197984,20120806,  292,    0
197984,20120807,  274,    0
197984,20120808,  266,    0
197984,20120809,  265,    0
197984,20120810,  252,    0
197984,20120811,  249,    0
197984,20120812,  240,    0
197984,20120813,  245,    0
197984,20120814,  259,    0
197984,20120815,  272,    0
197984,20120816,  285,    0
197984,20120817,  270,    0
197984,20120818,  271,    0
197984,20120819,  267,    0
197984,20120820,  281,    0
197984,20120821,  288,    0
197984,20120822,  289,    0
197984,20120823,  287,    0
197984,20120824,  303,    0
197984,20120825,  302,    0
197984,20120826,  261,    0
197984,20120827,  216,    0
197984,20120828,  223,    0
197984,20120829,  249,    0
197984,20120830,  261,    0
197984,20120831,  226,    0
197984,20120901,  180,    0
197984,20120902,  194,    0
197984,20120903,  189,    0
197984,20120904,  192,    0
197984,20120905,  205,    0
197984,20120906,  223,    0
197984,20120907,  217,    0
197984,20120908,  220,    0
197984,20120909,  226,    0
197984,20120910,  230,    0
197984,20120911,  238,    0
197984,20120912,  225,    0
197984,20120913,  162,    0
197984,20120914,  182,    0
197984,20120915,  177,    0
197984,20120916,  180,    0
197984,20120917,  190,    0
197984,20120918,  196,    0
197984,20120919,  188,    0
197984,20120920,  158,    0
197984,20120921,  148,    0
197984,20120922,  180,    0
197984,20120923,  208,    0
197984,20120924,  213,    0
197984,20120925,  206,    0
197984,20120926,  238,    0
197984,20120927,  225,    0
197984,20120928,  192,    0
197984,20120929,  187,    0
197984,20120930,  188,    0
197984,20121001,  185,    0
197984,20121002,  189,    0
197984,20121003,  189,    0
197984,20121004,  192,    0
197984,20121005,  190,    0
197984,20121006,  189,    0
197984,20121007,  199,    0
197984,20121008,  177,    0
197984,20121009,  162,    0
197984,20121010,  176,    0
197984,20121011,  169,    0
197984,20121012,  151,    0
197984,20121013,  159,    0
197984,20121014,  151,    0
197984,20121015,  159,    0
197984,20121016,  131,    0
197984,20121017,  144,    0
197984,20121018,  153,    0
197984,20121019,  147,    0
197984,20121020,  140,    0
197984,20121021,  149,    0
197984,20121022,  149,    0
197984,20121023,  136,    0
197984,20121024,  127,    0
197984,20121025,  126,    0
197984,20121026,  125,    0
197984,20121027,  135,    0
197984,20121028,   90,    0
197984,20121029,   64,    0
197984,20121030,   62,    0
197984,20121031,   89,    0
197984,20121101,  103,    0
197984,20121102,   91,    0
197984,20121103,  113,    0
197984,20121104,  124,    0
197984,20121105,  153,    0
197984,20121106,  121,    0
197984,20121107,   89,    0
197984,20121108,   75,    0
197984,20121109,   95,    0
197984,20121110,  105,    0
197984,20121111,  127,    0
197984,20121112,  110,    0
197984,20121113,  122,    0
197984,20121114,  110,    0
197984,20121115,   78,    0
197984,20121116,   77,    0
197984,20121117,   88,    0
197984,20121118,   87,    0
197984,20121119,   90,    0
197984,20121120,  102,    0
197984,20121121,   76,    0
197984,20121122,   84,    0
197984,20121123,  100,    0
197984,20121124,   92,    0
197984,20121125,   99,    0
197984,20121126,  104,    0
197984,20121127,  115,    0
197984,20121128,  110,    0
197984,20121129,   95,    0
197984,20121130,   80,    0
197984,20121201,   63,    0
197984,20121202,   58,    0
197984,20121203,   45,    0
197984,20121204,   12,    0
197984,20121205,   10,    0
197984,20121206,    5,    0
197984,20121207,   -1,    0
197984,20121208,   -5,    0
197984,20121209,  -11,    0
197984,20121210,  -10,    0
197984,20121211,   13,    0
197984,20121212,   -8,    0
197984,20121213,  -17,    0
197984,20121214,   -3,    0
197984,20121215,   11,    0
197984,20121216,    9,    0
197984,20121217,   19,    0
197984,20121218,   22,    0
197984,20121219,    0,    0
197984,20121220,    0,    0
197984,20121221,    6,    0
197984,20121222,   21,    0
197984,20121223,    4,    0
197984,20121224,   20,    0
197984,20121225,   36,    0
197984,20121226,   51,    0
197984,20121227,   43,    0
197984,20121228,   57,    0
197984,20121229,   21,    0
197984,20121230,   14,    0
197984,20121231,    5,    0
197984,20130101,   12,    0
197984,20130102,   32,    0
197984,20130103,   55,    0
197984,20130104,   35,    0
197984,20130105,   47,    0
197984,20130106,   31,    0
197984,20130107,   27,    0
197984,20130108,   44,    0
197984,20130109,   49,    0
197984,20130110,   41,    0
197984,20130111,   30,    0
197984,20130112,   36,    0
197984,20130113,   32,    0
197984,20130114,   20,    0
197984,20130115,   12,    0
197984,20130116,   14,    0
197984,20130117,    7,    0
197984,20130118,   21,    0
197984,20130119,    4,    0
197984,20130120,   20,    0
197984,20130121,   27,    0
197984,20130122,   20,    0
197984,20130123,   21,    0
197984,20130124,   49,    0
197984,20130125,   37,    0
197984,20130126,   12,    0
197984,20130127,    4,    0
197984,20130128,   10,    0
197984,20130129,   14,    0
197984,20130130,   14,    0
197984,20130131,   28,    0
197984,20130201,   14,    0
197984,20130202,   28,    0
197984,20130203,   41,    0
197984,20130204,   49,    0
197984,20130205,   30,    0
197984,20130206,   42,    0
197984,20130207,   32,    0
197984,20130208,   16,    0
197984,20130209,   14,    0
197984,20130210,    3,    0
197984,20130211,    0,    0
197984,20130212,   13,    0
197984,20130213,   17,    0
197984,20130214,   30,    0
197984,20130215,   21,    0
197984,20130216,   26,    0
197984,20130217,   36,    0
197984,20130218,   30,    0
197984,20130219,   22,    0
197984,20130220,   23,    0
197984,20130221,   16,    0
197984,20130222,   -3,    0
197984,20130223,    2,    0
197984,20130224,   23,    0
197984,20130225,   10,    0
197984,20130226,   28,    0
197984,20130227,   27,    0
197984,20130228,   47,    0
197984,20130301,   50,    0
197984,20130302,   42,    0
197984,20130303,   52,    0
197984,20130304,   56,    0
197984,20130305,   41,    0
197984,20130306,   73,    0
197984,20130307,   90,    0
197984,20130308,   98,    0
197984,20130309,  116,    0
197984,20130310,  107,    0
197984,20130311,   91,    0
197984,20130312,   88,    0
197984,20130313,   89,    0
197984,20130314,   63,    0
197984,20130315,   36,    0
197984,20130316,   32,    0
197984,20130317,   55,    0
197984,20130318,   39,    0
197984,20130319,   78,    0
197984,20130320,   75,    0
197984,20130321,   95,    0
197984,20130322,   90,    0
197984,20130323,   95,    0
197984,20130324,   75,    0
197984,20130325,   30,    0
197984,20130326,   38,    0
197984,20130327,   59,    0
197984,20130328,   60,    0
197984,20130329,   75,    0
197984,20130330,   82,    0
197984,20130331,   99,    0
197984,20130401,   90,    0
197984,20130402,   78,    0
197984,20130403,   82,    0
197984,20130404,   84,    0
197984,20130405,   86,    0
197984,20130406,   95,    0
197984,20130407,  100,    0
197984,20130408,   89,    0
197984,20130409,   94,    0
197984,20130410,  111,    0
197984,20130411,  121,    0
197984,20130412,  162,    0
197984,20130413,  150,    0
197984,20130414,  143,    0
197984,20130415,  151,    0
197984,20130416,  146,    0
197984,20130417,  156,    0
197984,20130418,  172,    0
197984,20130419,  178,    0
197984,20130420,  155,    0
197984,20130421,  140,    0
197984,20130422,  117,    0
197984,20130423,  120,    0
197984,20130424,  134,    0
197984,20130425,  156,    0
197984,20130426,  162,    0
197984,20130427,  158,    0
197984,20130428,  176,    0
