EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, RAVENNA_URBANA (STAID: 17865).
Blended and updated with sources: 195816 197216 198016 916145 916146 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
916145,20051201,   41,    0
916145,20051202,   41,    0
916145,20051203,  102,    0
916145,20051204,   54,    0
916145,20051205,   91,    0
916145,20051206,   67,    0
916145,20051207,   67,    0
916145,20051208,   41,    0
916145,20051209,   78,    0
916145,20051210,   73,    0
916145,20051211,   65,    0
916145,20051212,   38,    0
916145,20051213,   40,    0
916145,20051214,   42,    0
916145,20051215,   41,    0
916145,20051216,   20,    0
916145,20051217,   18,    0
916145,20051218,   28,    0
916145,20051219,   21,    0
916145,20051220,   25,    0
916145,20051221,   26,    0
916145,20051222,   15,    0
916145,20051223,   18,    0
916145,20051224,   13,    0
916145,20051225,   22,    0
916145,20051226,   38,    0
916145,20051227,   38,    0
916145,20051228,   38,    0
916145,20051229,    5,    0
916145,20051230,   -1,    0
198016,20051231,   -5,    0
198016,20060101,    0,    0
198016,20060102,   23,    0
198016,20060103,   42,    0
198016,20060104,   37,    0
198016,20060105,   33,    0
198016,20060106,   36,    0
198016,20060107,   46,    0
198016,20060108,   41,    0
198016,20060109,   21,    0
198016,20060110,   15,    0
198016,20060111,   23,    0
198016,20060112,   22,    0
198016,20060113,   18,    0
198016,20060114,    7,    0
198016,20060115,    2,    0
198016,20060116,   10,    0
198016,20060117,    2,    0
198016,20060118,   11,    0
198016,20060119,   -7,    0
198016,20060120,  -14,    0
198016,20060121,   -1,    0
198016,20060122,   35,    0
198016,20060123,   27,    0
198016,20060124,   10,    0
198016,20060125,  -12,    0
198016,20060126,    0,    0
198016,20060127,   15,    0
198016,20060128,   35,    0
198016,20060129,   45,    0
198016,20060130,   59,    0
198016,20060131,   69,    0
198016,20060201,   64,    0
198016,20060202,   73,    0
198016,20060203,   63,    0
198016,20060204,   46,    0
198016,20060205,   39,    0
198016,20060206,   14,    0
198016,20060207,   11,    0
198016,20060208,   23,    0
198016,20060209,   33,    0
198016,20060210,   38,    0
198016,20060211,   41,    0
198016,20060212,   33,    0
198016,20060213,   30,    0
198016,20060214,   33,    0
198016,20060215,   55,    0
198016,20060216,   38,    0
198016,20060217,   83,    0
198016,20060218,  114,    0
198016,20060219,   75,    0
198016,20060220,  103,    0
198016,20060221,   62,    0
198016,20060222,   73,    0
198016,20060223,   82,    0
198016,20060224,   62,    0
198016,20060225,   56,    0
198016,20060226,   62,    0
198016,20060227,   60,    0
198016,20060228,   31,    0
198016,20060301,   43,    0
198016,20060302,   42,    0
198016,20060303,   71,    0
198016,20060304,  144,    0
198016,20060305,  119,    0
198016,20060306,   62,    0
198016,20060307,   52,    0
198016,20060308,   48,    0
198016,20060309,   78,    0
198016,20060310,   73,    0
198016,20060311,   76,    0
198016,20060312,   45,    0
198016,20060313,   51,    0
198016,20060314,   44,    0
198016,20060315,   54,    0
198016,20060316,   55,    0
198016,20060317,   63,    0
198016,20060318,   61,    0
198016,20060319,   63,    0
198016,20060320,   81,    0
198016,20060321,   87,    0
198016,20060322,   80,    0
198016,20060323,  101,    0
198016,20060324,   88,    0
198016,20060325,   97,    0
198016,20060326,  113,    0
198016,20060327,  134,    0
198016,20060328,  148,    0
198016,20060329,  148,    0
198016,20060330,  144,    0
198016,20060331,  143,    0
198016,20060401,  132,    0
198016,20060402,  132,    0
198016,20060403,  117,    0
198016,20060404,  111,    0
198016,20060405,  125,    0
198016,20060406,  100,    0
198016,20060407,   82,    0
198016,20060408,   99,    0
198016,20060409,  125,    0
198016,20060410,  137,    0
198016,20060411,  106,    0
198016,20060412,  103,    0
198016,20060413,  117,    0
198016,20060414,  142,    0
198016,20060415,  147,    0
198016,20060416,  152,    0
198016,20060417,  139,    0
198016,20060418,  130,    0
198016,20060419,  145,    0
198016,20060420,  155,    0
198016,20060421,  164,    0
198016,20060422,  173,    0
198016,20060423,  183,    0
198016,20060424,  173,    0
198016,20060425,  166,    0
198016,20060426,  176,    0
198016,20060427,  152,    0
198016,20060428,  155,    0
198016,20060429,  153,    0
198016,20060430,  121,    0
198016,20060501,  130,    0
198016,20060502,  159,    0
198016,20060503,  157,    0
198016,20060504,  162,    0
198016,20060505,  169,    0
198016,20060506,  163,    0
198016,20060507,  162,    0
198016,20060508,  166,    0
198016,20060509,  136,    0
198016,20060510,  155,    0
198016,20060511,  170,    0
198016,20060512,  179,    0
198016,20060513,  195,    0
198016,20060514,  157,    0
198016,20060515,  175,    0
198016,20060516,  196,    0
198016,20060517,  211,    0
198016,20060518,  214,    0
198016,20060519,  238,    0
198016,20060520,  214,    0
198016,20060521,  226,    0
198016,20060522,  222,    0
198016,20060523,  218,    0
198016,20060524,  172,    0
198016,20060525,  167,    0
198016,20060526,  192,    0
198016,20060527,  217,    0
198016,20060528,  217,    0
198016,20060529,  205,    0
198016,20060530,  128,    0
198016,20060531,  139,    0
198016,20060601,  163,    0
198016,20060602,  153,    0
198016,20060603,  148,    0
198016,20060604,  184,    0
198016,20060605,  179,    0
198016,20060606,  162,    0
198016,20060607,  164,    0
198016,20060608,  169,    0
198016,20060609,  179,    0
198016,20060610,  195,    0
198016,20060611,  187,    0
198016,20060612,  191,    0
198016,20060613,  214,    0
198016,20060614,  232,    0
198016,20060615,  249,    0
198016,20060616,  251,    0
198016,20060617,  249,    0
198016,20060618,  252,    0
198016,20060619,  259,    0
198016,20060620,  267,    0
198016,20060621,  259,    0
198016,20060622,  283,    0
198016,20060623,  269,    0
198016,20060624,  263,    0
198016,20060625,  263,    0
198016,20060626,  275,    0
198016,20060627,  280,    0
198016,20060628,  275,    0
198016,20060629,  277,    0
198016,20060630,  264,    0
198016,20060701,  257,    0
198016,20060702,  250,    0
198016,20060703,  244,    0
198016,20060704,  241,    0
198016,20060705,  238,    0
198016,20060706,  236,    0
198016,20060707,  211,    0
198016,20060708,  231,    0
198016,20060709,  253,    0
198016,20060710,  265,    0
198016,20060711,  266,    0
198016,20060712,  272,    0
198016,20060713,  264,    0
198016,20060714,  270,    0
198016,20060715,  262,    0
198016,20060716,  249,    0
198016,20060717,  234,    0
198016,20060718,  238,    0
198016,20060719,  251,    0
198016,20060720,  272,    0
198016,20060721,  285,    0
198016,20060722,  292,    0
198016,20060723,  294,    0
198016,20060724,  287,    0
198016,20060725,  284,    0
198016,20060726,  290,    0
198016,20060727,  289,    0
198016,20060728,  282,    0
198016,20060729,  264,    0
198016,20060730,  267,    0
198016,20060731,  278,    0
198016,20060801,  264,    0
198016,20060802,  240,    0
198016,20060803,  233,    0
198016,20060804,  199,    0
198016,20060805,  214,    0
198016,20060806,  230,    0
198016,20060807,  246,    0
198016,20060808,  231,    0
198016,20060809,  211,    0
198016,20060810,  208,    0
198016,20060811,  198,    0
198016,20060812,  168,    0
198016,20060813,  190,    0
198016,20060814,  206,    0
198016,20060815,  219,    0
198016,20060816,  231,    0
198016,20060817,  241,    0
198016,20060818,  269,    0
198016,20060819,  232,    0
198016,20060820,  234,    0
198016,20060821,  221,    0
198016,20060822,  225,    0
198016,20060823,  234,    0
198016,20060824,  239,    0
198016,20060825,  234,    0
198016,20060826,  215,    0
198016,20060827,  205,    0
198016,20060828,  214,    0
198016,20060829,  219,    0
198016,20060830,  186,    0
198016,20060831,  196,    0
198016,20060901,  201,    0
198016,20060902,  210,    0
198016,20060903,  224,    0
198016,20060904,  243,    0
198016,20060905,  244,    0
198016,20060906,  244,    0
198016,20060907,  246,    0
198016,20060908,  240,    0
198016,20060909,  214,    0
198016,20060910,  195,    0
198016,20060911,  199,    0
198016,20060912,  204,    0
198016,20060913,  208,    0
198016,20060914,  215,    0
198016,20060915,  233,    0
198016,20060916,  186,    0
198016,20060917,  175,    0
198016,20060918,  196,    0
198016,20060919,  205,    0
198016,20060920,  211,    0
198016,20060921,  209,    0
198016,20060922,  204,    0
198016,20060923,  198,    0
198016,20060924,  187,    0
198016,20060925,  186,    0
198016,20060926,  215,    0
198016,20060927,  216,    0
198016,20060928,  194,    0
198016,20060929,  196,    0
198016,20060930,  204,    0
198016,20061001,  220,    0
198016,20061002,  220,    0
198016,20061003,  226,    0
198016,20061004,  216,    0
198016,20061005,  175,    0
198016,20061006,  164,    0
198016,20061007,  153,    0
198016,20061008,  162,    0
198016,20061009,  159,    0
198016,20061010,  159,    0
198016,20061011,  157,    0
198016,20061012,  156,    0
198016,20061013,  164,    0
198016,20061014,  169,    0
198016,20061015,  162,    0
198016,20061016,  143,    0
198016,20061017,  131,    0
198016,20061018,  122,    0
198016,20061019,  138,    0
198016,20061020,  146,    0
198016,20061021,  146,    0
198016,20061022,  156,    0
198016,20061023,  184,    0
198016,20061024,  214,    0
198016,20061025,  189,    0
198016,20061026,  168,    0
198016,20061027,  166,    0
198016,20061028,  158,    0
198016,20061029,  166,    0
198016,20061030,  157,    0
198016,20061031,  140,    0
198016,20061101,  146,    0
198016,20061102,  117,    0
198016,20061103,   75,    0
198016,20061104,   73,    0
198016,20061105,   85,    0
198016,20061106,  106,    0
198016,20061107,  104,    0
198016,20061108,  125,    0
198016,20061109,  132,    0
198016,20061110,  111,    0
198016,20061111,   88,    0
198016,20061112,   99,    0
198016,20061113,   93,    0
198016,20061114,  102,    0
198016,20061115,  108,    0
198016,20061116,  119,    0
198016,20061117,  100,    0
198016,20061118,  122,    0
198016,20061119,  113,    0
198016,20061120,  122,    0
198016,20061121,  109,    0
198016,20061122,   99,    0
198016,20061123,   94,    0
198016,20061124,  104,    0
198016,20061125,  100,    0
198016,20061126,  100,    0
198016,20061127,  102,    0
198016,20061128,  113,    0
198016,20061129,  111,    0
198016,20061130,   95,    0
198016,20061201,   86,    0
198016,20061202,   60,    0
198016,20061203,   74,    0
198016,20061204,   72,    0
198016,20061205,   89,    0
198016,20061206,  121,    0
198016,20061207,  109,    0
198016,20061208,  125,    0
198016,20061209,  127,    0
198016,20061210,   98,    0
198016,20061211,   65,    0
198016,20061212,   55,    0
198016,20061213,   55,    0
198016,20061214,   53,    0
198016,20061215,   59,    0
198016,20061216,   64,    0
198016,20061217,   67,    0
198016,20061218,   78,    0
198016,20061219,   81,    0
198016,20061220,   42,    0
198016,20061221,   54,    0
198016,20061222,   74,    0
198016,20061223,   33,    0
198016,20061224,   37,    0
198016,20061225,   48,    0
198016,20061226,   41,    0
198016,20061227,   13,    0
198016,20061228,  -11,    0
198016,20061229,    6,    0
198016,20061230,   11,    0
198016,20061231,   48,    0
198016,20070101,   63,    0
198016,20070102,   59,    0
198016,20070103,   68,    0
198016,20070104,   53,    0
198016,20070105,   63,    0
198016,20070106,   55,    0
198016,20070107,   59,    0
198016,20070108,   72,    0
198016,20070109,   75,    0
198016,20070110,   64,    0
198016,20070111,   53,    0
198016,20070112,   55,    0
198016,20070113,   53,    0
198016,20070114,   50,    0
198016,20070115,   57,    0
198016,20070116,   51,    0
198016,20070117,   64,    0
198016,20070118,   62,    0
198016,20070119,   77,    0
198016,20070120,   59,    0
198016,20070121,   63,    0
198016,20070122,   75,    0
198016,20070123,  131,    0
198016,20070124,   72,    0
198016,20070125,   66,    0
198016,20070126,   31,    0
198016,20070127,   39,    0
198016,20070128,   59,    0
198016,20070129,   76,    0
198016,20070130,   54,    0
198016,20070131,   39,    0
198016,20070201,   24,    0
198016,20070202,   38,    0
198016,20070203,   51,    0
198016,20070204,   55,    0
198016,20070205,   50,    0
198016,20070206,   78,    0
198016,20070207,   69,    0
198016,20070208,   75,    0
198016,20070209,   84,    0
198016,20070210,   87,    0
198016,20070211,   93,    0
198016,20070212,   86,    0
198016,20070213,  102,    0
198016,20070214,   95,    0
198016,20070215,   86,    0
198016,20070216,   69,    0
198016,20070217,   65,    0
198016,20070218,   78,    0
198016,20070219,   73,    0
198016,20070220,   79,    0
198016,20070221,  106,    0
198016,20070222,  103,    0
198016,20070223,   96,    0
198016,20070224,   97,    0
198016,20070225,  120,    0
198016,20070226,   96,    0
198016,20070227,   94,    0
198016,20070228,  114,    0
198016,20070301,  125,    0
198016,20070302,  153,    0
198016,20070303,  149,    0
198016,20070304,  126,    0
198016,20070305,  117,    0
198016,20070306,  118,    0
198016,20070307,  121,    0
198016,20070308,  109,    0
198016,20070309,  119,    0
198016,20070310,  110,    0
198016,20070311,  111,    0
198016,20070312,   95,    0
198016,20070313,  116,    0
198016,20070314,  130,    0
198016,20070315,  121,    0
198016,20070316,  125,    0
198016,20070317,  140,    0
198016,20070318,  152,    0
198016,20070319,  122,    0
198016,20070320,   63,    0
198016,20070321,   82,    0
198016,20070322,   77,    0
198016,20070323,   72,    0
198016,20070324,   87,    0
198016,20070325,   88,    0
198016,20070326,   82,    0
198016,20070327,   98,    0
198016,20070328,   91,    0
198016,20070329,   91,    0
198016,20070330,   94,    0
198016,20070331,  105,    0
198016,20070401,  124,    0
198016,20070402,  129,    0
198016,20070403,  123,    0
198016,20070404,  126,    0
198016,20070405,  121,    0
198016,20070406,  128,    0
198016,20070407,  136,    0
198016,20070408,  142,    0
198016,20070409,  149,    0
198016,20070410,  163,    0
198016,20070411,  166,    0
198016,20070412,  162,    0
198016,20070413,  159,    0
198016,20070414,  159,    0
198016,20070415,  170,    0
198016,20070416,  170,    0
198016,20070417,  162,    0
198016,20070418,  160,    0
198016,20070419,  159,    0
198016,20070420,  161,    0
198016,20070421,  159,    0
198016,20070422,  171,    0
198016,20070423,  185,    0
198016,20070424,  201,    0
198016,20070425,  193,    0
198016,20070426,  182,    0
198016,20070427,  171,    0
198016,20070428,  179,    0
198016,20070429,  193,    0
198016,20070430,  185,    0
198016,20070501,  172,    0
198016,20070502,  159,    0
198016,20070503,  152,    0
198016,20070504,  154,    0
198016,20070505,  153,    0
198016,20070506,  157,    0
198016,20070507,  188,    0
198016,20070508,  215,    0
198016,20070509,  228,    0
198016,20070510,  213,    0
198016,20070511,  229,    0
198016,20070512,  219,    0
198016,20070513,  225,    0
198016,20070514,  232,    0
198016,20070515,  200,    0
198016,20070516,  171,    0
198016,20070517,  180,    0
198016,20070518,  185,    0
198016,20070519,  174,    0
198016,20070520,  198,    0
198016,20070521,  215,    0
198016,20070522,  253,    0
198016,20070523,  253,    0
198016,20070524,  250,    0
198016,20070525,  247,    0
198016,20070526,  243,    0
198016,20070527,  209,    0
198016,20070528,  167,    0
198016,20070529,  149,    0
198016,20070530,  174,    0
198016,20070531,  186,    0
198016,20070601,  180,    0
198016,20070602,  169,    0
198016,20070603,  194,    0
198016,20070604,  203,    0
198016,20070605,  213,    0
198016,20070606,  187,    0
198016,20070607,  196,    0
198016,20070608,  208,    0
198016,20070609,  228,    0
198016,20070610,  236,    0
198016,20070611,  244,    0
198016,20070612,  218,    0
198016,20070613,  229,    0
198016,20070614,  240,    0
198016,20070615,  255,    0
198016,20070616,  247,    0
198016,20070617,  242,    0
198016,20070618,  254,    0
198016,20070619,  253,    0
198016,20070620,  258,    0
198016,20070621,  279,    0
198016,20070622,  263,    0
198016,20070623,  257,    0
198016,20070624,  251,    0
198016,20070625,  266,    0
198016,20070626,  240,    0
198016,20070627,  228,    0
198016,20070628,  219,    0
198016,20070629,  229,    0
198016,20070630,  235,    0
198016,20070701,  244,    0
198016,20070702,  263,    0
198016,20070703,  252,    0
198016,20070704,  230,    0
198016,20070705,  207,    0
198016,20070706,  240,    0
198016,20070707,  254,    0
198016,20070708,  256,    0
198016,20070709,  279,    0
198016,20070710,  231,    0
198016,20070711,  195,    0
198016,20070712,  215,    0
198016,20070713,  232,    0
198016,20070714,  253,    0
198016,20070715,  264,    0
198016,20070716,  272,    0
198016,20070717,  286,    0
198016,20070718,  285,    0
