EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ITALY, VICOMARINO (STAID: 21783).
Blended and updated with sources: 218208 218240 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
218240,20200501,-9999,    9
218240,20200502,-9999,    9
218240,20200503,-9999,    9
218240,20200504,-9999,    9
218240,20200505,-9999,    9
218240,20200506,-9999,    9
218240,20200507,-9999,    9
218240,20200508,-9999,    9
218240,20200509,-9999,    9
218240,20200510,-9999,    9
218240,20200511,-9999,    9
218240,20200512,-9999,    9
218240,20200513,-9999,    9
218240,20200514,-9999,    9
218240,20200515,-9999,    9
218240,20200516,-9999,    9
218240,20200517,-9999,    9
218240,20200518,-9999,    9
218240,20200519,-9999,    9
218240,20200520,-9999,    9
218240,20200521,-9999,    9
218240,20200522,-9999,    9
218240,20200523,-9999,    9
218240,20200524,-9999,    9
218240,20200525,-9999,    9
218240,20200526,-9999,    9
218240,20200527,-9999,    9
218240,20200528,-9999,    9
218240,20200529,-9999,    9
218240,20200530,-9999,    9
218240,20200531,  173,    0
218240,20200601,  197,    0
218240,20200602,  225,    0
218240,20200603,  204,    0
218240,20200604,  157,    0
218240,20200605,  195,    0
218240,20200606,  201,    0
218240,20200607,  184,    0
218240,20200608,  162,    0
218240,20200609,  167,    0
218240,20200610,  155,    0
218240,20200611,  158,    0
218240,20200612,  187,    0
218240,20200613,  196,    0
218240,20200614,  201,    0
218240,20200615,  209,    0
218240,20200616,  205,    0
218240,20200617,  186,    0
218240,20200618,  190,    0
218240,20200619,  192,    0
218240,20200620,  207,    0
