EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-04-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME

  174,100858,BRINDISI                                ,IT,+40:38:00,+017:56:00,  10, TG5,19510101,20091231,   21,Tiziano Colombo                                   
  174,916320,BRINDISI                                ,IT,+40:39:00,+017:57:00,  10, TG5,19820113,20200229,     ,                    
  175,100859,CAGLIARI                                ,IT,+39:14:00,+009:03:00,  21, TG5,19510101,20091231,   21,Tiziano Colombo                                   
  175,916560,CAGLIARI ELMAS                          ,IT,+39:14:00,+009:03:00,   5, TG5,19820113,20200229,     ,                    
  176,100860,ROMA CIAMPINO                           ,IT,+41:47:00,+012:35:00, 105, TG5,19510101,20091231,   21,Tiziano Colombo                                   
  176,916239,ROMA/CIAMPINO                           ,IT,+41:48:00,+012:35:00, 105, TG5,19870721,20200229,     ,                    
  177,100861,VERONA VILLAFRANCA                      ,IT,+45:23:00,+010:52:00,  68, TG5,19510101,20091231,   21,Tiziano Colombo                                   
  177,916090,VERONA/VILLAFRANCA                      ,IT,+45:23:00,+010:52:00,  68, TG5,19820113,20200229,     ,                    
  169,100862,BOLOGNA                                 ,IT,+44:30:00,+011:20:46,  53, TG5,18140101,20031231,   20,Maurizio Maugeri                                  
  169,194648,CASALECCHIO_CANALE                      ,IT,+44:28:32,+011:16:51,  63, TG3,20051231,20100204,   54,Valentina Pavan                                   
  169,194824,CASTENASO_VILLANOVA                     ,IT,+44:29:24,+011:25:45,  51, TG3,20120502,20160504,   54,Valentina Pavan                                   
  169,197888,ZOLA_PREDOSA                            ,IT,+44:29:46,+011:12:00,  65, TG3,20051231,20190429,   54,Valentina Pavan                                   
  169,916132,BOLOGNA                                 ,IT,+44:32:00,+011:17:00,  53, TG5,20050520,20191127,     ,                    
  169,916140,BOLOGNA/BORGO PANIGALE                  ,IT,+44:32:00,+011:18:00,  37, TG5,19820113,20200229,     ,                    
  173,105249,MILAN                                   ,IT,+45:28:18,+009:11:21, 150, TG5,17630101,20081130,   20,Maurizio Maugeri                                  
  380,115587,PADOVA                                  ,IT,+45:23:55,+011:52:49,  12, TG5,19970101,20071231,   20,Maurizio Maugeri                                  
  381,115591,PALERMO                                 ,IT,+38:06:37,+013:21:05,  37, TG5,20030101,20081231,   20,Maurizio Maugeri                                  
17512,194048,ALBARETO                                ,IT,+44:42:07,+010:57:24,  28, TG3,20051231,20220130,   54,Valentina Pavan                                   
17512,195096,CORTILE_DI_CARPI                        ,IT,+44:46:42,+010:58:16,  23, TG3,20070325,20220130,   54,Valentina Pavan                                   
17512,195968,MODENA                                  ,IT,+44:38:53,+010:56:04,  34, TG3,20051231,20190429,   54,Valentina Pavan                                   
