Time (sec), Heater 1 (%), Temperature 1 (degC), Heater 2 (%), Temperature 2 (degC)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.067000000000000171e+01,2.053999999999999915e+01
2.990885972976684570e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.067000000000000171e+01,2.035000000000000142e+01
5.982476949691772461e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.076999999999999957e+01,2.051000000000000156e+01
8.974306821823120117e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.067000000000000171e+01,2.042000000000000171e+01
1.196661210060119629e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.080000000000000071e+01,2.037999999999999901e+01
1.495712280273437500e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.089999999999999858e+01,2.051000000000000156e+01
1.794949412345886230e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.128999999999999915e+01,2.044999999999999929e+01
2.094115686416625977e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.176999999999999957e+01,2.060999999999999943e+01
2.393198084831237793e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.241000000000000014e+01,2.048000000000000043e+01
2.692324686050415039e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.308999999999999986e+01,2.048000000000000043e+01
2.991494679450988770e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.396000000000000085e+01,2.053999999999999915e+01
3.290675473213195801e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.476999999999999957e+01,2.053999999999999915e+01
3.589934587478637695e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.576000000000000156e+01,2.053999999999999915e+01
3.889331793785095215e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.680000000000000071e+01,2.064000000000000057e+01
4.188552784919738770e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.760000000000000142e+01,2.067000000000000171e+01
4.487576675415039062e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.853999999999999915e+01,2.082999999999999829e+01
4.786702799797058105e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.966000000000000014e+01,2.073999999999999844e+01
5.086096787452697754e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.066000000000000014e+01,2.096000000000000085e+01
5.385322093963623047e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.160000000000000142e+01,2.096000000000000085e+01
5.684431076049804688e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.268999999999999773e+01,2.112000000000000099e+01
5.983541679382324219e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.360000000000000142e+01,2.116000000000000014e+01
6.283067488670349121e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.465999999999999659e+01,2.128999999999999915e+01
6.582237291336059570e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.571999999999999886e+01,2.148000000000000043e+01
6.881765294075012207e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.665999999999999659e+01,2.167000000000000171e+01
7.181070590019226074e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.771999999999999886e+01,2.164000000000000057e+01
7.480595588684082031e+01,1.000000000000000000e+02,6.000000000000000000e+01,3.875000000000000000e+01,2.180000000000000071e+01
7.779954600334167480e+01,1.000000000000000000e+02,6.000000000000000000e+01,3.968999999999999773e+01,2.205999999999999872e+01
8.079479503631591797e+01,1.000000000000000000e+02,6.000000000000000000e+01,4.075000000000000000e+01,2.225000000000000000e+01
8.378776001930236816e+01,1.000000000000000000e+02,6.000000000000000000e+01,4.185000000000000142e+01,2.269999999999999929e+01
8.678296494483947754e+01,1.000000000000000000e+02,6.000000000000000000e+01,4.275000000000000000e+01,2.308999999999999986e+01
8.977817511558532715e+01,1.000000000000000000e+02,6.000000000000000000e+01,4.375000000000000000e+01,2.332000000000000028e+01
