Abile,Maldestro
Abitudinario,Alternativo
Accattivante,Insignificante
Accogliente,Inospitale
Accomodante,Scorbutico
Affascinante,Ripugnante
Affidabile,Inaffidabile
Allegro,Malinconico
Altruista,Egoista
Amabile,Odioso
Ambivalente,//
Ambizioso,Rinunciatario
Amichevole,Ostile
Amorevole,Sprezzante
Appassionato,Apatico
Apprezzato,Sdegnato
Ardito,Timido
Armonioso,Stonato
Assertivo,irresoluto
Astuto,Ingenuo
Attento,Disattento
Audace,Trepido
Avveduto,Sventato
Bello,Brutto
Bonario,Scontroso
Bravo,Cattivo
Buono,Malvagio
Calmo,Irrequieto
Capace,Incapace
Caparbio,Arrendevole
Carino,Repellente
Carismatico,Spento
Cauto,Temerario
Chiacchierone,Taciturno
Chiaro,Misterioso
Coerente,Incoerente
Colto,Rozzo
Compassionevole,Spietato
Compiaciuto,Invidioso
Comprensivo,Intransigente
Compreso,Incompreso
Comune,Bizzarro
Concentrato,Distratto
Conciliante,Collerico
Conosciuto,Sconosciuto
Contentabile,Incontentabile
Contento,Scontento
Convincente,Inefficace
Coraggioso,Fifone
Cordiale,Burbero
Corretto,Scorretto
Cortese,Scortese
Costante,Lunatico
Creativo,Scialbo
Curioso,Indifferente
Deciso,Indeciso
Determinato,Incerto
Dinamico,Statico
Diplomatico,Sfacciato
Discreto,Invadente
Disinvolto,Goffo
Disponibile,Indisponibile
Divertente,Noioso
Dolce,Violento
Educato,Maleducato
Elastico,Rigido
Elegante,Trasandato
Energico,Fiacco
Entusiasta,Frigido
Esaltato,Depresso
Esauriente,Superficiale
Estroverso,Introverso
Equilibrato,Squilibrato
Fedele,Infedele
Felice,Infelice
Fidato,Traditore
Fiducioso,Diffidente
Fiducioso,Geloso
Figo,Sfigato
Forte,Debole
Fortunato,Sfortunato
Forzuto,Fragile
Furbo,Minchione
Gagliardo,Codardo
Garbato,Sgarbato
Generoso,Meschino
Gentile,Scortese
Gioioso,Triste
Gioviale,Mesto
Giusto,Sbagliato
Gradevole,Sgradevole
Grazioso,Sgraziato
Idoneo,Inidoneo
Impavido,Pauroso
Imperturbabile,Emotivo
Importante,Inutile
Imprevedibile,Prevedibile
Incantevole,Orribile
Indulgente,Vendicativo
Ingegnoso,Inetto
Innocuo,Pericoloso
Intelligente,Stupido
Interessante,Insignificante
Interessato,Disinteressato
Istruito,Ignorante
Laborioso,Ozioso
Leale,Sleale
Libero,Occupato
Loquace,Taciturno
Magnanimo,Avaro
Maturo,Immaturo
Memore,Smemorato
Meraviglioso,orrendo
Minuzioso,Negligente
Misericordioso,Crudele
Mite,Aggressivo
Modesto,Vanitoso
Naturale,Strano
Normale,Eccentrico
Obbediente,Disubbidiente
Onesto,Disonesto
Operoso,Pigro
Ordinato,Disordinato
Organizzato,Disorganizzato
Orgoglioso,Dimesso
Originale,Copione
Ossequioso,Impertinente
Ottimista,Pessimista
Pacifico,Litigioso
Partecipe,Cinico
Paziente,Impaziente
Perfetto,Imperfetto
Perspicace,Sconsiderato
Persuasivo,dissuasivo
Piacevole,Fastidioso
Positivo,Negativo
Potente,Impotente
Pratico,Inesperto
Propositivo,Disfattista
Pregevole,Spregevole
Premuroso,Noncurante
Preparato,Impreparato
Profumato,Puzzolente
Prudente,Imprudente
Pulito,Sporco
Puntuale,Ritardatario
Puro,Falso
Radioso,Addolorato
Raffinato,Grezzo
Raggiante,Afflitto
Ragionevole,Scriteriato
Razionale,Irrazionale
Realista,Sognatore
Regolare,Irregolare
Responsabile,Irresponsabile
Ricco,Povero
Riconoscente,Ingrato
Riflessivo,Impulsivo
Rilassato,Contratto
Riservato,Svergognato
Rispettoso,Insolente
Romantico,Freddo
Saggio,Avventato
Savio,Pazzo
Scherzoso,Serioso
Semplice,Enigmatico
Sensato,Insensato
Sensibile,Insensibile
Sereno,Turbato
Sicuro,Insicuro
Simpatico,Antipatico
Sincero,Bugiardo
Sociale,Asociale
Socievole,Solitario
Soddisfatto,Insoddisfatto
Spavaldo,Timoroso
Spigliato,Impacciato
Splendido,Oscuro
Sportivo,Sedentario
Stabile,Vagabondo
Stimato,Disprezzato
Straordinario,Solito
Studioso,Saccente
Suadente,Rude
Superiore,Inferiore
Sveglio,Stordito
Tranquillo,Agitato
Tollerante,Esigente
Ubbidiente,Ribelle
Umile,Presuntuoso
Unico,Comune
Valoroso,Vigliacco
Veloce,Lento
Vicino,Lontano
Vincente,Perdente
Virtuoso,Viziato
Volenteroso,Svogliato
Volubile,Testardo
