"open","high","low","close","volume","timestamp","formattedOpen","formattedHigh","formattedLow","formattedClose","formattedVolume","formattedTimestamp","relatedNews","issue","redemption","highLow","peCode","newsPnacWithCsk","Date"
"40.35","40.66","40.25","40.33","0","2012-05-07T02:00:00+02:00","40.35","40.66","40.25","40.33","0","07/05/2012","","0","1","[object Object]","[object Object]","","2012-05-07"
"40.33","40.41","39.53","39.7","0","2012-05-08T02:00:00+02:00","40.33","40.41","39.53","39.7","0","08/05/2012","","0","1","[object Object]","[object Object]","","2012-05-08"
"39.71","39.75","39.18","39.54","0","2012-05-09T02:00:00+02:00","39.71","39.75","39.18","39.54","0","09/05/2012","","0","1","[object Object]","[object Object]","","2012-05-09"
"39.55","39.69","39.44","39.64","0","2012-05-10T02:00:00+02:00","39.55","39.69","39.44","39.64","0","10/05/2012","","0","1","[object Object]","[object Object]","","2012-05-10"
"39.64","39.66","39.18","39.33","0","2012-05-11T02:00:00+02:00","39.64","39.66","39.18","39.33","0","11/05/2012","","0","1","[object Object]","[object Object]","","2012-05-11"
"39.56","39.56","38.96","39.03","0","2012-05-14T02:00:00+02:00","39.56","39.56","38.96","39.03","0","14/05/2012","","0","1","[object Object]","[object Object]","","2012-05-14"
"39.03","39.26","38.81","39","0","2012-05-15T02:00:00+02:00","39.03","39.26","38.81","39","0","15/05/2012","","0","1","[object Object]","[object Object]","","2012-05-15"
"39","39.13","38.7","38.9","0","2012-05-16T02:00:00+02:00","39","39.13","38.7","38.9","0","16/05/2012","","0","1","[object Object]","[object Object]","","2012-05-16"
"38.91","39.98","38.91","39.89","0","2012-05-17T02:00:00+02:00","38.91","39.98","38.91","39.89","0","17/05/2012","","0","1","[object Object]","[object Object]","","2012-05-17"
"39.9","40.4","39.82","40.06","0","2012-05-18T02:00:00+02:00","39.9","40.4","39.82","40.06","0","18/05/2012","","0","1","[object Object]","[object Object]","","2012-05-18"
"40","40.22","39.92","39.99","0","2012-05-21T02:00:00+02:00","40","40.22","39.92","39.99","0","21/05/2012","","0","1","[object Object]","[object Object]","","2012-05-21"
